id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series;id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series;0
all_games15198;Original War; PC;;December 3, 2001;;;61.0;8.9;;A real-time strategy game in which the plot influences mission objectives and which has multiple endings depending on player's actions. Contrary to other games, there is no other way of creating new human units. Each man or woman is unique. [Altar Interactive];;;Windowgames_2433;Original War;PC;Virgin Interactive;2001-01-01;;Platform,Adventure;;;Altar Interactive;;;;True
all_games15642;Bionicle Heroes; PC;;November 14, 2006;;;59.0;8.3;;Bionicle Heroes brings to life the most powerful and exciting LEGO characters ever seen in one game, in an action-packed world of adventure and discovery. Take control of a young hero as he steps out of the real world and into the strange and dangerous universe of Bionicle. Only by mastering the powers and special abilities of the greatest Bionicle heroes will he be able to overcome the many challenges ahead. [Eidos Interactive];;;Windowgames_347;Bionicle Heroes;PC;Eidos Interactive;2006-01-01;;Shooter;;;TT Games;;;;True
all_games17365;Stormrise; PC;;March 24, 2009;;;51.0;5.1;;"Stormrise offers fans of the classic RTS genre an immersive and dramatic twist while challenging the conscience of the gamer. Experience the heat of the battlefield by leading your troops from the front line, instead of the traditional way of controlling the units from a detached view point. Stormrise also allows units to be commanded in the air, across rooftops, on the earth's surface and even underground, this unique idea of ""verticality"" introduces multiple layers of gameplay that must be mastered for strategic advantage. The experience is heightened by a simple yet effective control system tailored specifically for consoles, which allows easy unit selection, rapid navigation and precise deployment. Set on a bleak and barren earth, devastated by a catastrophic event centuries ago, Stormrise sees the Echelon and the Sai battling to survive in a hostile and uninhabitable wasteland. Remnants of a superior technological people the Echelon survived the event through self-educed hibernation, while the Sai, a more tribal faction, still exist having learned to adapt to their surroundings and the new environment. Having evolved in vastly different ways, the differences between the two factions have spurred much animosity and hatred between the two races and the future of the planet is now hanging by a thread. [Sega]";;;Windowgames_3248;Stormrise;PC;Sega;2009-01-01;;Real Time Strategy (RTS),Strategy;;;The Creative Assembly;;;;True
all_games16514;Sonic Riders; PC;;February 21, 2006;;;56.0;8.2;;The Sonic series takes to the track in the combat racing game, Sonic Riders. Dr. Eggman has challenged Sonic and friends to race in his World Grand Prix, and you can enter the event and try to unravel his mysterious plot. The races happen on floating boards and include tricks, fighting, and racing. You can customize your character with upgraded equipment as you race down 13 different tracks through a handful of game modes. You can also challenge three of your friends to multiplayer races.;;;Windowgames_3084;Sonic Riders;PC;Sega;2006-01-01;;Racing,Adventure;;;Sonic Team;;;;True
all_games15856;Monster Madness: Battle for Suburbia; PC;;June 12, 2007;;;59.0;7.0;;"Our story begins in a typical house on a Friday night, one seemingly like any other within the quiet, safe streets of Suburbia. Zack is at home on a ""study date"" with Carrie, though he is desperately trying to interest her in more than just his math skills. While Zack is preparing to proclaim his eternal devotion, his friend Andy busts in, pestering Zack to finish the design for a new rocket-powered skateboard. Before Zack can order him and others to leave, some unexpected guests suddenly arrive and these guys are hungry...FOR BRAINS! Zombies break through the front door, and Zack's house is soon swarming with the Undead. The four intrepid teenagers manage to contain their fright, and using all sorts of household weaponry they actually fend off this zombie assault. However now they must contend with a full-scale suburban invasion, and everything from Werewolves to Witches are on the rampage - Oh My! And where has everyone else gone? Together, Zack, Carrie, Andy, and Jennifer resolve to wage a Battle for Suburbia, rescue their missing neighbors, and discover the ultimate source of this monster onslaught. The secrets they'll uncover throughout this adventure will explain the shocking truth behind their little town. [SouthPeak Interactive]";;;Windowgames_2171;Monster Madness: Battle for Suburbia;PC;SouthPeak Games;2007-01-01;;Shooter;;;Artificial Studios;;;;True
all_games15617;Star Wars: The Force Unleashed II; PC;;October 26, 2010;;;59.0;5.9;;With Star Wars: The Force Unleashed II, the epic story continues as players once again assume the role of the devastatingly powerful Starkiller - Darth Vader's secret apprentice set during the largely unexplored era between Star Wars: Episode III Revenge of the Sith and Star Wars: Episode IV A New Hope.;;;Windowgames_3207;Star Wars: The Force Unleashed;PC;LucasArts;2008-01-01;;"Role-playing (RPG),""Hack and slash/Beat em up"",Adventure";;;LucasArts;;;;False
all_games15654;Dino Crisis; PC;;December 4, 2000;;;59.0;8.5;;Though it has some startling moments and a few fun sections, it's mostly just a mediocre version of a mediocre game.;;;Windowgames_942;Dino Crisis 2;PC;Capcom;2000-01-01;;Shooter,Adventure;;;Capcom Production Studio 4;;;;False
all_games16231;The Cameron Files: Pharaoh's Curse; PC;;October 29, 2002;;;57.0;0.0;;An Ancient Evil Awakes... and the Pharaoh no longer slumbers. Investigate the disappearance of the Pharaoh. An ancient ritual revisited awakens a Pharaoh long dead and entombed. You must piece together the clues to discover the real reason why the mummy is missing. [Dreamcatcher];;;Windowgames_480;The Cameron Files: Pharaohs Curse;PC;The Adventure Company;2002-01-01;;Adventure;;;Galilea;;;;True
all_games16522;DRIV3R; PC;;June 21, 2004;;;56.0;4.8;;The Wheelman returns in his most dangerous adventure yet--an interactive driving epic on par with the most intense Hollywood action blockbusters. Undertake a wide variety of high-speed vehicle-based missions and go deeper undercover than ever before. The game features over 70 playable vehicles, including cars, bikes, artics, and busses, and eight different weapons, ranging from handguns and machine guns to grenade launchers. Driver 3 provides gamers with all new gameplay possibilities, replayability, and a whole new driving experience.;;;Windowgames_1024;Driv3r;PC;Atari;2004-01-01;;Shooter,Racing;;;Reflections Interactive;;;;True
all_games16037;Memoranda; PC;;January 25, 2017;;;58.0;6.3;;Memoranda is a 2D point and click adventure game inspired by author Haruki Murakami’s surreal short stories.The game tells the story of a young lady who gradually realizes that she is forgetting her own name. But is she really losing her memory?;;;Windowgames_3161;Star Trek: Armada II;PC;Activision;2001-01-01;;Real Time Strategy (RTS),Strategy;;;Mad Doc Software;;;;False
