id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series;id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series;0
all_games18104;Bravo Team; PlayStation 4;;March 6, 2018;;;45.0;4.7;;Bravo Team is set in a fictional modern day Eastern European city. When your escort mission goes awry and results in the President’s assassination, a country threatens to tear itself apart...and your team along with it. Teamwork is at the core of the game. Bravo Team has been developed to allow both single player and online 2 player co-op where you and your teammate must use everything at your disposal to survive. Communication is essential...should you split-up? Who takes that weapon? What can you see? Together you’ll need to work out a strategy to succeed and make your escape. [Playstation.com];;;PS4_id_8600;Bravo Team;PS4;Sony Interactive Entertainment;2018-03-06;;First Person Shooter;;;Supermassive Games;;;;TRUE
all_games18142;Bubsy: The Woolies Strike Back; PlayStation 4;;October 31, 2017;;;44.0;5.5;;Watch Bubsy glide like a bat, jump like a jack rabbit, bounce like a red rubber ball and run…run Bubsy run. This is the Bubsy adventure you were born to play.;;;PS4_id_8658;Bubsy: The Woolies Strike Back;PS4;Accolade;2017-10-31;;Platformer;;;Black Forest Games;;;;TRUE
all_games18330;MX vs. ATV Supercross Encore; PlayStation 4;;October 27, 2015;;;42.0;4.2;;Rip, jump and scrub your way to victory with over 35 tracks in this vastly extended version. Only the Encore edition features the brand new Rhythm Racing mode, extra outdoor Nationals tracks, and exclusive Waypoint races in open world maps.;;;PS4_id_9534;MX vs. ATV Supercross Encore;PS4;THQ Nordic;2015-10-27;;Automobile,Simulation Racing;;;Rainbow Studios;;;;TRUE
all_games18200;Calvino Noir; PlayStation 4;;August 25, 2015;;;44.0;7.1;;The film noir stealth game. Calvino Noir is the exploratory, sneaking adventure through the 1930s European criminal underworld. Architecture meets Noir as you become unwillingly entangled in a revolutionist plot. Inspired by the futuristic dystopian visions of Deus Ex and Blade Runner. Play as a disparate group of last-chancers as they fight for the future of a city sliding slowly into the gutter. Some are broken souls, some are merely damaged - all are fighting to forge a future in an ugly world ruled by those whose hearts are cruel and dark. - Seven levels split across three acts. - Fully voiced, rich mystery plot. - Stunning visual style inspired by classic film noir cinema. - Explore a richly detailed and atmospheric world. - Coordinate multiple unique characters with a range of skills. - Use stealth or brute force to face those that stand in your way.;;;PS4_id_7540;Calvino Noir;PS4;Calvino Noir;2015-08-25;;Action-Adventure,Stealth;;;Calvino Noir;;;;TRUE
all_games16766;Teenage Mutant Ninja Turtles: Mutants in Manhattan; PlayStation 4;;May 24, 2016;;;55.0;5.9;;Battle with your brothers through the sewers, subways, and streets of New York to defeat Shredder and Krang’s evil organization, Foot by Foot. Unleash custom combat skills and powerful team combos to save Manhattan from the overwhelming dark forces growing in the shadows.;;;PS4_id_1192;Teenage Mutant Ninja Turtles: Mutants in Manhattan;PS4;Activision;2016-05-24;;Beat 'em up;;;PlatinumGames;;;;TRUE
all_games17093;Bound by Flame; PlayStation 3;;May 6, 2014;;;53.0;5.8;;You are a mercenary possessed by a flame demon in a desperate world ravaged by seven Ice Lords and their Dead-Army. In this RPG where all your choices lead to consequences, you will have to choose between unleashing the powers of the beast within and rejecting the demonic influence that wants to claim your humanity.;;;PS4_id_8564;Bound by Flame;PS4;Focus Entertainment;2014-05-09;;Action-RPG,Role Playing;;;Spiders;;;;FALSE
all_games17292;Beyond Eyes; PC;;September 8, 2015;;;52.0;4.8;;Beyond Eyes is a modern fairy tale about finding courage and friendship as you carefully guide young Rae on a life changing journey, uncovering an incredible world, step by step. Blinded as a young child, and reluctant to leave the protection of her family home, Raes world is once more shattered as Nani, her pet cat, goes missing. Summoning up all the courage she can muster, Rae learns to face her fears and ventures out into the world, to find her best friend.;;;PS4_id_8324;Beyond Eyes;PS4;Team17 Software;2015-09-08;;Adventure;;;tiger & squid;;;;FALSE
all_games17193;Akiba's Trip: Hellbound & Debriefed; PlayStation 4;;July 20, 2021;;;52.0;4.8;;AKIBA’S TRIP: Hellbound & Debriefed is the precursor to AKIBA’S TRIP: Undead & Undressed, the smash hit that introduced a Western audience to the seedy underworld lurking in the shadows of the haven of “otaku” culture in the Akihabara district of Tokyo. Released as AKIBA’S TRIP Plus in Japan, players explore a rich setting based on the famous “Akiba” district circa 2011, hunting vampiric foes and tearing off their clothes to expose them to sunlight. This remaster brings the game up to modern HD graphical standards, all while retaining the charm of the original classic that sparked a cult hit series.;;;PS4_id_3452;AKIBA'S TRIP: Hellbound & Debriefed;PS4;XSEED Games,Marvelous Entertainment;2021-07-20;;Open World,Action-RPG,Role Playing;;;ACQUIRE;;;;TRUE
all_games15597;Planet of the Apes: Last Frontier; PlayStation 4;;November 21, 2017;;;59.0;5.2;;Planet of the Apes: Last Frontier is a narrative adventure game of conquest, betrayal, and survival. When the fates of a tribe of apes and a band of human survivors intertwine, two worlds collide as their precarious existence hangs in the balance.;;;PS4_id_2929;Planet of the Apes: Last Frontier (EU);PS4;FoxNext Games;2017-11-21;;Visual Novel;;;The Imaginarium;;;;TRUE
all_games16968;Gauntlet Dark Legacy; PC;;April 15, 2002;;;54.0;8.3;;Gauntlet's hack-and-slash gameplay continues in Gauntlet: Dark Legacy. You and up to three of your friends must work as a team through eight dangerous worlds. As one of eight different characters, you'll vanquish creatures, evade traps, and search for treasure. Character-based power attacks, magic potions, new power-ups, and combination moves add to the mayhem. The game save system allows players to transfer evolving characters from their own machine to a friend's to take on the dungeon together.;;;PS4_id_9607;101 Ways to Die;PS4;Vision Games;2016-03-22;;Puzzle;;;Four Door Lemon;;;;FALSE
