id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series;id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series;0
Windowgames_2171;Monster Madness: Battle for Suburbia;PC;SouthPeak Games;2007-01-01;;Shooter;;;Artificial Studios;;;;Video_games_sales13003;Murdered: Soul Suspect;PC;Square Enix;2014-01-01;0.05;Action;59.0;7.4;;;M;;True
Windowgames_3693;The Witcher 3: Wild Hunt;PC;CD Projekt,Warner Bros. Interactive Entertainment,Bandai Namco Entertainment;2015-01-01;;Role-playing (RPG),Adventure;;;CD Projekt Red;;;;Video_games_sales2685;The Witcher 3: Wild Hunt;PC;Namco Bandai Games;2015-01-01;0.77;Role-Playing;93.0;9.3;;;M;;True
Windowgames_3718;World of Warcraft: Warlords of Draenor;PC;Blizzard Entertainment;2014-01-01;;Role-playing (RPG),Strategy,Adventure;;;Blizzard Entertainment;;;;Video_games_sales4174;World of Warcraft: Warlords of Draenor;PC;Activision Blizzard;2014-01-01;0.47;Action;87.0;5.9;;;T;;True
Windowgames_3804;Zoo Tycoon 2;PC;Microsoft Game Studios;2004-01-01;;Simulator,Strategy;;;Blue Fang Games;;;;Video_games_sales12741;Zoo Tycoon 2;PC;Microsoft Game Studios;2004-01-01;0.06;Strategy;72.0;8.1;;;E;;True
Windowgames_3559;Unreal Tournament 2004;PC;Atari;2004-01-01;;Shooter;;;Epic Games;;;;Video_games_sales15946;Unreal Tournament 2004;PC;Atari;2004-01-01;0.02;Shooter;93.0;8.9;;;M;;True
Windowgames_3760;X-Men Legends II: Rise of Apocalypse;PC;Activision;2005-01-01;;"Role-playing (RPG),""Hack and slash/Beat em up""";;;Raven Software,Vicarious Visions,Beenox,Barking Lizards Technologies;;;;Video_games_sales4421;X-Men Legends II: Rise of Apocalypse;X;Activision;2005-01-01;0.44;Role-Playing;84.0;8.7;;;T;;False
Windowgames_3651;Warriors of Might and Magic;PC;3DO;2000-01-01;;Role-playing (RPG),Adventure;;;3DO;;;;Video_games_sales9669;Warriors of Might and Magic;PS;3DO;2001-01-01;0.13;Adventure;;;;;;;False
Windowgames_3560;Unreal Tournament 3;PC;Midway Games;2007-01-01;;Shooter;;;Epic Games;;;;Video_games_sales12583;Unreal Tournament III;PC;Midway Games;2007-01-01;0.06;Shooter;83.0;8.0;;;M;;True
Windowgames_3636;Warhammer 40,000: Dawn of War – Soulstorm;PC;THQ;2008-01-01;;Real Time Strategy (RTS),Strategy;;;Iron Lore Entertainment;;;;Video_games_sales15743;Warhammer 40,000: Dawn of War: Soulstorm;PC;THQ;2008-01-01;0.02;Strategy;;;;;;;True
Windowgames_3770;Xiama;PC;Mulawa Dreaming;2000-01-01;;Puzzle,Adventure;;;Mulawa Dreaming;;;;Video_games_sales4205;Warhammer 40,000: Dawn of War II;PC;THQ;2009-01-01;0.47;Strategy;85.0;8.1;;;M;;False
Windowgames_3657;Watchmen: The End Is Nigh;PC;Warner Bros. Games;2009-01-01;;"Sport,""Hack and slash/Beat em up""";;;Deadline Games;;;;Video_games_sales8679;Konami Krazy Racers;GBA;Konami Digital Entertainment;2001-01-01;0.16;Racing;78.0;;;;E;;False
Windowgames_3690;WipEout XL;PC;Psygnosis;1997-01-01;;Racing;;;Psygnosis;;;;Video_games_sales883;Star Wars: Dark Forces;PC;LucasArts;1994-01-01;1.95;Shooter;;7.7;;;T;;False
Windowgames_3592;Victoria II;PC;Paradox Interactive;2010-01-01;;Simulator,Sport;;;Paradox Interactive;;;;Video_games_sales17032;Harry Potter and the Goblet of Fire;PC;Electronic Arts;2005-01-01;0.01;Action;66.0;4.0;;;E10+;;False
Windowgames_3608;Virtual Pool;PC;Interplay Entertainment;1995-01-01;;Simulator,Sport;;;Celeris;;;;Video_games_sales3910;Dishonored;PC;Bethesda Softworks;2012-01-01;0.51;Action;91.0;8.4;;;M;;False
Windowgames_3567;V-Rally;PC;Infogrames;1997-01-01;;Racing;;;Eden Studios;;;;Video_games_sales8366;NBA 09: The Inside;PSP;Sony Computer Entertainment;2008-01-01;0.17;Sports;79.0;7.4;;;E;;False
Windowgames_3533;UEFA Euro 2012;PC;EA Sports;2012-01-01;;Sport;;;EA Canada;;;;Video_games_sales8270;Open Season;GC;Ubisoft;2006-01-01;0.17;Platform;59.0;;;;E10+;;False
