id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series;id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series;0
Video_games_sales10272;Teenage Mutant Ninja Turtles: Mutants in Manhattan;PS4;Activision;2016-01-01;0.11;Action;44.0;5.4;;;T;;PS4_id_1192;Teenage Mutant Ninja Turtles: Mutants in Manhattan;PS4;Activision;2016-05-24;;Beat 'em up;;;PlatinumGames;;;;True
Video_games_sales15841;Rabbids Invasion: The Interactive TV Show;PS4;Ubisoft;2014-01-01;0.02;Misc;;;;;;;PS4_id_613;Rabbids Invasion: The Interactive TV Show;PS4;Ubisoft;2014-12-01;;Party;;;Ubisoft Barcelona;;;;True
Video_games_sales15854;Shin Hayarigami 2;PS4;Nippon Ichi Software;2016-01-01;0.02;Adventure;;;;;;;PS4_id_4223;Shin Hayarigami 2;PS4;Nippon Ichi Software;2016-07-07;;Adventure,Visual Novel;;;Nippon Ichi Software;;;;True
Video_games_sales15868;Dungeons 2;PS4;Kalypso Media;2016-01-01;0.02;Role-Playing;61.0;7.9;;;T;;PS4_id_5687;Dungeons 2;PS4;Kalypso Media;2016-05-24;;Strategy,Management,Real Time;;;Realmforge Studios;;;;True
Video_games_sales16536;Werewolves Within;PS4;Ubisoft;2016-01-01;0.01;Misc;75.0;7.0;;;E;;PS4_id_151;Werewolves Within;PS4;Ubisoft;2016-12-06;;Party;;;Red Storm Entertainment;;;;True
Video_games_sales15868;Dungeons 2;PS4;Kalypso Media;2016-01-01;0.02;Role-Playing;61.0;7.9;;;T;;PS4_id_5688;Dungeons 3;PS4;Kalypso Media;2017-10-17;;Strategy,Management,Real Time;;;Realmforge Studios;;;;False
Video_games_sales16348;Nitroplus Blasterz: Heroines Infinite Duel;PS3;Nitroplus;2015-01-01;0.01;Fighting;;;;;T;;PS4_id_8935;Nitroplus Blasterz: Heroines Infinite Duel;PS4;XSEED Games;2016-02-02;;Fighting;;;Examu;;;;False
Video_games_sales15879;R.B.I. Baseball 2016;PS4;MLB.com;2016-01-01;0.02;Sports;;;;;;;PS4_id_605;R.B.I. Baseball 16;PS4;MLB;2016-03-29;;Sports,Baseball;;;MLB;;;;True
Video_games_sales16191;Marvel Pinball: Epic Collection Volume 1;PS4;Nighthawk Interactive;2016-01-01;0.01;Misc;;;;;;;PS4_id_9114;Marvel Pinball Epic Collection Vol. 1;PS4;Nighthawk Interactive;2016-11-08;;Pinball;;;Zen Studios;;;;True
Video_games_sales15953;Republique;PS4;Nippon Ichi Software;2016-01-01;0.02;Action;72.0;5.9;;;M;;PS4_id_6203;Ghost 1.0;PS4;Francisco Téllez de Meneses;2019-04-08;;Metroidvania,Platformer;;;Francisco Téllez de Meneses;;;;False
