id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series;id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series;0
Video_games_sales15253;Lumo;PS4;Rising Star Games;2016-01-01;0.02;Puzzle;73.0;5.8;;;E10+;;wikidata_id_52734;Lumo;PlayStation 4;;2016-01-01;;;;;;;Everyone 10+;;True
Video_games_sales15614;Just Sing;PS4;Ubisoft;2016-01-01;0.02;Misc;60.0;7.0;;;E10+;;wikidata_id_51500;Just Sing;PlayStation 4;;2016-01-01;;;;;;;;;True
Video_games_sales15644;Natsuiro High School: Seishun Hakusho;PS4;D3Publisher;2015-01-01;0.02;Action;;;;;;;wikidata_id_64138;Natsuiro High School: Seishun Hakusho;PlayStation 4;;2015-06-04;;;;;;;;;True
Video_games_sales14239;Assault Suit Leynos;PS4;Rising Star Games;2016-01-01;0.03;Shooter;67.0;;;;E10+;;wikidata_id_74483;Assault Suit Leynos;PlayStation 4;;2015-12-23;;;;;;;;Assault Suit;True
Video_games_sales13929;Hyperdimension Neptunia Victory II;PS4;Idea Factory International;2015-01-01;0.04;Role-Playing;;;;;;;wikidata_id_65691;Hyperdimension Neptunia Victory II;PlayStation 4;;2015-07-23;;;;;;;;Hyperdimension Neptunia;True
Video_games_sales15303;Aragami;PS4;FuRyu Corporation;2016-01-01;0.02;Action;71.0;7.6;;;M;;wikidata_id_89879;Aragami 2;PlayStation 4;;2021-09-17;;;;;;;Mature 17+;;False
Video_games_sales15868;Dungeons 2;PS4;Kalypso Media;2016-01-01;0.02;Role-Playing;61.0;7.9;;;T;;wikidata_id_53394;Dungeons 3;PlayStation 4;;2017-10-13;;;;;;;;;False
Video_games_sales15084;Sherlock Holmes: The Devils Daughter;PS4;Bigben Interactive;2016-01-01;0.02;Adventure;71.0;6.8;;;T;;wikidata_id_73207;Sherlock Holmes: The Devil's Daughter;PlayStation 4;;2016-06-10;;;;;;;Teen;Adventures of Sherlock Holmes;True
Video_games_sales15187;Anima - Gate of Memories;PS4;Avanquest;2016-01-01;0.02;Action;52.0;7.9;;;T;;wikidata_id_61137;Anima: Gate of Memories;PlayStation 4;;2016-06-02;;;;;;;Teen;;True
Video_games_sales15279;Winning Post 8 2016;PS4;Tecmo Koei;2016-01-01;0.02;Simulation;;;;;;;wikidata_id_52886;Pro Evolution Soccer 2018;PlayStation 4;;2017-01-01;;;;;;;;eFootball;False
Video_games_sales15403;Dragons Dogma Online: Season 2;PS4;Capcom;2016-01-01;0.02;Action;;;;;;;wikidata_id_46616;DRAGONS CROWN PRO;PlayStation 4;;2018-02-08;;;;;;;;;False
Video_games_sales15515;Koihime Enbu;PS4;Yeti;2016-01-01;0.02;Fighting;;;;;;;wikidata_id_47484;Unruly Heroes;PlayStation 4;;2019-01-01;;;;;;;Everyone 10+;;False
Video_games_sales15648;God Eater Off Shot:Shiou-hen Twin Pack & Animation Vol.5;PS4;Namco Bandai Games;2016-01-01;0.02;Misc;;;;;;;wikidata_id_61563;Just Dance 2020;PlayStation 4;;2019-11-05;;;;;;;Everyone 10+;Just Dance;False
Video_games_sales15713;This War of Mine;PS4;Deep Silver;2016-01-01;0.02;Action;;;;;;;wikidata_id_47468;Warface;PlayStation 4;;2013-10-21;;;;;;;Teen;;False
Video_games_sales14586;Sunny Garcia Surfing;PS2;Ubisoft;2001-01-01;0.03;Sports;61.0;7.9;;;E;;wikidata_id_68876;JoJo's Bizarre Adventure: All Star Battle;PlayStation 4;;2013-08-29;;;;;;;Teen;;False
Video_games_sales14533;Fullmetal Alchemist: Brotherhood;PSP;Unknown;N/A-01-01;0.03;Action;;;;;;;wikidata_id_65884;Floral Flowlove;PlayStation 4;;2016-01-01;;;;;;;;;False
Video_games_sales14475;SuperCar Challenge;PS3;System 3 Arcade Software;2009-01-01;0.03;Racing;65.0;7.8;;;;;wikidata_id_31383;Spelunky;PlayStation 4;;2008-12-21;;;;;;;Everyone;Spelunky;False
Video_games_sales14441;Accel World: Ginyoku no Kakusei;PS3;Namco Bandai Games;2012-01-01;0.03;Adventure;;;;;;;wikidata_id_77743;Call of Duty: Warzone 2.0;PlayStation 4;;2022-11-16;;;;;;;Mature 17+;Call of Duty;False
Video_games_sales14401;Fritz Chess;PS3;Deep Silver;2009-01-01;0.03;Strategy;;;;;;;wikidata_id_22244;Outcast;PlayStation 4;;1999-08-20;;;;;;;Teen;;False
Video_games_sales11889;Legend of Kay;PS4;Nordic Games;2015-01-01;0.07;Action;;;;;;;wikidata_id_28215;Legend of Kay;PlayStation 4;;2005-03-04;;;;;;;Everyone 10+;;False
Video_games_sales11920;The Technomancer;PS4;Focus Home Interactive;2016-01-01;0.07;Role-Playing;60.0;6.7;;;M;;wikidata_id_52411;The Technomancer;PlayStation 4;;2016-06-28;;;;;;;Mature 17+;;True
Video_games_sales11952;Earth Defense Force 4.1: The Shadow of New Despair;PS4;Xseed Games;2015-01-01;0.07;Shooter;64.0;7.9;;;M;;wikidata_id_47062;Earth Defense Force 4.1: The Shadow of New Despair;PlayStation 4;;2016-07-18;;;;;;;;;False
Video_games_sales12038;Nights of Azure;PS4;Tecmo Koei;2015-01-01;0.07;Action;67.0;7.5;;;T;;wikidata_id_48102;Nights of Azure;PlayStation 4;;2016-03-29;;;;;;;Teen;;False
Video_games_sales12259;Terraria;PS4;505 Games;2014-01-01;0.07;Action;83.0;8.0;;;T;;wikidata_id_63198;Terraria;PlayStation 4;;2011-05-16;;;;;;;Teen;;False
Video_games_sales12262;Mighty No. 9;PS4;Deep Silver;2016-01-01;0.07;Platform;52.0;3.5;;;E10+;;wikidata_id_64342;Mighty No. 9;PlayStation 4;;2016-01-01;;;;;;;Everyone 10+;;True
Video_games_sales12266;Assetto Corsa;PS4;505 Games;2016-01-01;0.07;Racing;73.0;6.2;;;E;;wikidata_id_50674;Assetto Corsa;PlayStation 4;;2013-11-08;;;;;;;;Assetto Corsa;False
Video_games_sales12278;Battlezone;PS4;Rebellion Developments;2016-01-01;0.07;Action;66.0;7.0;;;T;;wikidata_id_71187;Battlezone;PlayStation 4;;2016-01-01;;;;;;;;;True
Video_games_sales12340;Broken Sword 5: The Serpents Curse;PS4;Revolution Software;2015-01-01;0.07;Adventure;72.0;7.2;;;T;;wikidata_id_57224;Broken Sword 5: The Serpent's Curse;PlayStation 4;;2015-09-04;;;;;;;Teen;Broken Sword;True
Video_games_sales12700;ZombiU;PS4;Ubisoft;2016-01-01;0.06;Action;;;;;;;wikidata_id_64404;ZombiU;PlayStation 4;;2012-11-18;;;;;;;Mature 17+;;False
Video_games_sales7004;Tales of Berseria;PS4;Namco Bandai Games;2016-01-01;0.23;Role-Playing;79.0;;;;T;;wikidata_id_59545;Tales of Berseria;PlayStation 4;;2016-08-18;;;;;;;Teen;Tales;True
Video_games_sales7000;Ultimate Band;Wii;Disney Interactive Studios;2008-01-01;0.23;Misc;59.0;5.5;;;E10+;;wikidata_id_38858;Ultimate Band;Wii;;2008-11-25;;;;;;;Everyone 10+;;True
Video_games_sales7019;LEGO Ninjago: Shadow of Ronin;3DS;Warner Bros. Interactive Entertainment;2015-01-01;0.23;Action;;;;;E10+;;wikidata_id_69016;Lego Ninjago: Shadow of Ronin;Nintendo 3DS;;2015-01-01;;;;;;;Everyone 10+;;True
Video_games_sales7041;Ashes Cricket 2009;Wii;Codemasters;2009-01-01;0.23;Sports;;;;;;;wikidata_id_37342;Ashes Cricket 2009;Wii;;2009-08-06;;;;;;;;;True
Video_games_sales7045;The Lord of the Rings: Aragorns Quest;Wii;Warner Bros. Interactive Entertainment;2010-01-01;0.23;Action;58.0;7.8;;;T;;wikidata_id_49319;The Lord of the Rings: Aragorn's Quest;Wii;;2010-09-14;;;;;;;Teen;;True
Video_games_sales7052;Looney Tunes: Acme Arsenal;Wii;Warner Bros. Interactive Entertainment;2007-01-01;0.23;Action;27.0;5.1;;;E10+;;wikidata_id_32402;Looney Tunes: Acme Arsenal;Wii;;2007-10-09;;;;;;;;;True
Video_games_sales7112;Alundra;PS;Psygnosis;1997-01-01;0.23;Role-Playing;86.0;8.9;;;T;;wikidata_id_11012;Alundra;PlayStation;;1997-04-11;;;;;;;Everyone;Alundra;True
Video_games_sales7136;Rune Factory: Tides of Destiny;PS3;Marvelous Interactive;2011-01-01;0.23;Role-Playing;55.0;8.0;;;E10+;;wikidata_id_49951;Rune Factory: Tides of Destiny;Wii;;2011-02-24;;;;;;;Everyone 10+;Rune Factory;False
Video_games_sales7171;Neopets Puzzle Adventure;Wii;Capcom;2008-01-01;0.22;Puzzle;52.0;;;;E;;wikidata_id_41646;Neopets Puzzle Adventure;Nintendo DS;;2008-11-25;;;;;;;;;False
Video_games_sales7197;MotoGP 08;PS2;Capcom;2008-01-01;0.22;Racing;;;;;E;;wikidata_id_32987;MotoGP '08;Wii;;2008-10-28;;;;;;;Everyone;MotoGP;False
Video_games_sales7258;Angry Birds Star Wars;PS4;Activision;2013-01-01;0.22;Strategy;47.0;2.0;;;E;;wikidata_id_65515;Angry Birds Star Wars;Nintendo 3DS;;2012-11-08;;;;;;;;Angry Birds;False
Video_games_sales7292;LEGO The Lord of the Rings;PC;Warner Bros. Interactive Entertainment;2012-01-01;0.22;Action;80.0;8.2;;;E10+;;wikidata_id_53224;Lego The Lord of the Rings;Wii;;2012-10-30;;;;;;;Everyone;Middle-earth Lego sets;False
Video_games_sales7314;Dead Island;PC;Deep Silver;2011-01-01;0.22;Action;80.0;6.8;;;M;;wikidata_id_73382;Dead Island Riptide: Definitive Edition;PlayStation 4;;2016-05-31;;;;;;;Mature 17+;Dead Island;False
Video_games_sales8072;Amplitude;PS2;Sony Computer Entertainment;2003-01-01;0.18;Misc;86.0;8.8;;;T;;wikidata_id_63605;Amplitude;PlayStation 4;;2016-01-05;;;;;;;;;False
Video_games_sales8758;Namco Museum Vol.5;PS;Sony Computer Entertainment;1996-01-01;0.15;Misc;;;;;;;wikidata_id_20231;Namco Museum Vol. 5;PlayStation;;1997-01-01;;;;;;;Everyone;Namco Museum;False
Video_games_sales8771;Ultimate Spider-Man;DS;Activision;2005-01-01;0.15;Action;78.0;7.7;;;E10+;;wikidata_id_28242;Ultimate Spider-Man;PlayStation 2;;2005-09-19;;;;;;;;;False
Video_games_sales8778;Dishonored;XOne;Bethesda Softworks;2015-01-01;0.15;Action;;;;;;;wikidata_id_67356;Dishonored;PlayStation 4;;2012-10-09;;;;;;;Mature 17+;Dishonored;False
Video_games_sales8790;Stormrise;X360;Sega;2009-01-01;0.15;Strategy;48.0;6.8;;;M;;wikidata_id_39444;Stormrise;PlayStation 3;;2009-03-24;;;;;;;Mature 17+;;False
Video_games_sales8817;Birds of Steel;X360;Konami Digital Entertainment;2012-01-01;0.15;Simulation;77.0;8.9;;;T;;wikidata_id_76370;Birds of Steel;PlayStation 3;;2012-03-13;;;;;;;Teen;;False
Video_games_sales9158;Scarface: The World is Yours;Wii;Vivendi Games;2007-01-01;0.14;Action;71.0;8.4;;;M;;wikidata_id_29326;Scarface: The World Is Yours;PlayStation 2;;2006-07-25;;;;;;;Mature 17+;;False
Video_games_sales671;Half-Life 2;PC;Vivendi Games;2004-01-01;2.37;Shooter;96.0;9.2;;;M;;wikidata_id_30157;Half-Life 2: Deathmatch;Microsoft Windows;;2004-11-30;;;;;;;Mature 17+;Half-Life;False
Video_games_sales671;Half-Life 2;PC;Vivendi Games;2004-01-01;2.37;Shooter;96.0;9.2;;;M;;wikidata_id_31536;Half-Life 2: Episode One;Linux;;2006-06-01;;;;;;;Mature 17+;Half-Life;False
Video_games_sales1644;Grand Theft Auto V;PC;Take-Two Interactive;2015-01-01;1.23;Action;96.0;7.9;;;M;;wikidata_id_54901;Grand Theft Auto V;Microsoft Windows;;2013-09-17;;;;;;;Mature 17+;Grand Theft Auto;True
Video_games_sales9193;The Orange Box;PC;Electronic Arts;2007-01-01;0.14;Shooter;96.0;9.3;;;M;;wikidata_id_29147;The Orange Box;Microsoft Windows;;2007-10-10;;;;;;;Mature 17+;Team Fortress;True
Video_games_sales287;Half-Life;PC;Vivendi Games;1997-01-01;4.12;Shooter;96.0;9.1;;;M;;wikidata_id_44057;Half-Life;Microsoft Windows;;2001-11-11;;;;;;;Mature 17+;Half-Life;True
Video_games_sales4735;BioShock;PC;Take-Two Interactive;2007-01-01;0.41;Shooter;96.0;8.5;;;M;;wikidata_id_39999;BioShock;Microsoft Windows;;2007-08-21;;;;;;;Mature 17+;BioShock;True
Video_games_sales3060;BioShock Infinite;PC;Take-Two Interactive;2013-01-01;0.66;Shooter;94.0;8.5;;;M;;wikidata_id_62294;BioShock Infinite;Microsoft Windows;;2012-01-01;;;;;;;Mature 17+;BioShock;True
Video_games_sales2731;Portal 2;PC;Valve Software;2011-01-01;0.76;Shooter;95.0;8.8;;;E10+;;wikidata_id_72600;Portal 2;Microsoft Windows;;2011-04-18;;;;;;;Everyone 10+;Portal;True
Video_games_sales311;The Elder Scrolls V: Skyrim;PC;Bethesda Softworks;2011-01-01;3.92;Role-Playing;94.0;8.1;;;M;;wikidata_id_75364;The Elder Scrolls V: Skyrim;Microsoft Windows;;2011-11-11;;;;;;;Mature 17+;The Elder Scrolls;True
Video_games_sales4917;Mass Effect 2;PC;Electronic Arts;2010-01-01;0.39;Role-Playing;94.0;8.8;;;M;;wikidata_id_74057;Mass Effect 2;Microsoft Windows;;2010-01-26;;;;;;;Mature 17+;Mass Effect;True
Video_games_sales13953;Grand Theft Auto: Vice City;PC;Take-Two Interactive;2003-01-01;0.04;Action;94.0;8.8;;;M;;wikidata_id_38960;Grand Theft Auto: Vice City;Microsoft Windows;;2002-10-27;;;;;;;Mature 17+;Grand Theft Auto;True
Video_games_sales13953;Grand Theft Auto: Vice City;PC;Take-Two Interactive;2003-01-01;0.04;Action;94.0;8.8;;;M;;wikidata_id_79124;Grand Theft Auto: Vice City – The Definitive Edition;Microsoft Windows;;2021-11-11;;;;;;;Mature 17+;Grand Theft Auto;False
