id;PS4_id;Match;Corner Case;Duplicate
all_games4167;PS4_id_1841;TRUE;FALSE;
all_games4167;PS4_id_1842;FALSE;TRUE;
all_games4405;PS4_id_8774;TRUE;FALSE;
all_games4405;PS4_id_8771;FALSE;TRUE;
all_games4760;PS4_id_1525;TRUE;FALSE;TRUE
all_games4760;PS4_id_1526;TRUE;TRUE;TRUE
all_games4925;PS4_id_8670;TRUE;TRUE;
all_games5430;PS4_id_4177;TRUE;FALSE;
all_games5434;PS4_id_8548;TRUE;TRUE;
all_games5615;PS4_id_9647;FALSE;TRUE;
all_games5694;PS4_id_8120;TRUE;FALSE;TRUE
all_games5694;PS4_id_8121;TRUE;TRUE;TRUE
all_games5799;PS4_id_1265;TRUE;FALSE;
all_games5799;PS4_id_1264;FALSE;TRUE;
all_games5943;PS4_id_7529;FALSE;TRUE;
all_games5991;PS4_id_2940;TRUE;TRUE;
all_games5993;PS4_id_2085;TRUE;FALSE;TRUE
all_games5993;PS4_id_2086;TRUE;TRUE;TRUE
all_games5993;PS4_id_2087;TRUE;TRUE;TRUE
all_games5993;PS4_id_2088;TRUE;TRUE;TRUE
all_games6085;PS4_id_8718;TRUE;FALSE;
all_games6125;PS4_id_8119;TRUE;FALSE;
all_games6128;PS4_id_2861;TRUE;FALSE;
all_games6128;PS4_id_2862;FALSE;TRUE;
all_games6292;PS4_id_5278;TRUE;TRUE;TRUE
all_games6292;PS4_id_5279;TRUE;TRUE;TRUE
all_games6368;PS4_id_7503;TRUE;TRUE;TRUE
all_games6368;PS4_id_7504;TRUE;TRUE;TRUE
all_games6441;PS4_id_4395;TRUE;FALSE;
all_games6441;PS4_id_4394;FALSE;TRUE;
all_games6701;PS4_id_5567;TRUE;FALSE;TRUE
all_games6701;PS4_id_5568;TRUE;TRUE;TRUE
all_games6701;PS4_id_5571;FALSE;TRUE;
all_games6723;PS4_id_1963;TRUE;FALSE;
all_games6860;PS4_id_7520;TRUE;FALSE;TRUE
all_games6860;PS4_id_7521;TRUE;TRUE;TRUE
all_games6882;PS4_id_6304;TRUE;FALSE;
all_games6882;PS4_id_6302;FALSE;TRUE;
all_games7206;PS4_id_6096;TRUE;FALSE;
all_games7304;PS4_id_1694;TRUE;FALSE;
all_games7368;PS4_id_4163;TRUE;TRUE;
all_games7451;PS4_id_6899;TRUE;FALSE;
all_games7451;PS4_id_6898;FALSE;TRUE;
all_games7451;PS4_id_6897;FALSE;TRUE;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
