id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series;id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series
Windowgames_2424;The Orange Box;PC;Valve;2007-01-01;;Shooter,Puzzle;;;Valve;;;;Video_games_sales9193;The Orange Box;PC;Electronic Arts;2007-01-01;0.14;Shooter;96.0;9.3;;;M;
Windowgames_1534;Half-Life;PC;Sierra Studios;1998-01-01;;Shooter,Platform,Puzzle,Adventure;;;Valve;;;;Video_games_sales287;Half-Life;PC;Vivendi Games;1997-01-01;4.12;Shooter;96.0;9.1;;;M;
Windowgames_348;BioShock;PC;2K Games;2007-01-01;;Shooter;;;2K Boston/2K Australia;;;;Video_games_sales4735;BioShock;PC;Take-Two Interactive;2007-01-01;0.41;Shooter;96.0;8.5;;;M;
Windowgames_350;BioShock Infinite;PC;2K Games;2013-01-01;;Shooter,Adventure;;;Irrational Games;;;;Video_games_sales3060;BioShock Infinite;PC;Take-Two Interactive;2013-01-01;0.66;Shooter;94.0;8.5;;;M;
Windowgames_351;Birth of America;PC;AGEOD;2006-01-01;;Fighting,Role-playing (RPG),Strategy,Adventure;;;SEP BOA;;;;Video_games_sales900;BioShock Infinite;X360;Take-Two Interactive;2013-01-01;1.93;Shooter;93.0;8.5;;;M;
Windowgames_2568;Portal 2;PC;Valve;2011-01-01;;Real Time Strategy (RTS),Strategy;;;Valve;;;;Video_games_sales2731;Portal 2;PC;Valve Software;2011-01-01;0.76;Shooter;95.0;8.8;;;E10+;
Windowgames_1092;The Elder Scrolls V: Skyrim;PC;Bethesda Softworks;2011-01-01;;Role-playing (RPG);;;Bethesda Game Studios;;;;Video_games_sales311;The Elder Scrolls V: Skyrim;PC;Bethesda Softworks;2011-01-01;3.92;Role-Playing;94.0;8.1;;;M;
Windowgames_2051;Mass Effect 2;PC;Electronic Arts;2010-01-01;;Shooter,Role-playing (RPG),Tactical;;;BioWare;;;;Video_games_sales4917;Mass Effect 2;PC;Electronic Arts;2010-01-01;0.39;Role-Playing;94.0;8.8;;;M;
Windowgames_2051;Mass Effect 2;PC;Electronic Arts;2010-01-01;;Shooter,Role-playing (RPG),Tactical;;;BioWare;;;;Video_games_sales2143;Mass Effect 3;PC;Electronic Arts;2012-01-01;0.97;Role-Playing;89.0;5.5;;;M;
Windowgames_1489;Grand Theft Auto: Vice City;PC;Rockstar Games;2002-01-01;;Shooter,Racing,Adventure;;;Rockstar North;;;;Video_games_sales13953;Grand Theft Auto: Vice City;PC;Take-Two Interactive;2003-01-01;0.04;Action;94.0;8.8;;;M;
Windowgames_579;Civilization II;PC;MicroProse;1996-01-01;;Strategy,Turn-based strategy (TBS);;;MicroProse;;;;Video_games_sales1082;Sid Meiers Civilization V;PC;Take-Two Interactive;2010-01-01;1.68;Strategy;90.0;7.9;;;E10+;
Windowgames_580;Civilization II: Test of Time;PC;Hasbro Interactive;1999-01-01;;Simulator,Strategy;;;MicroProse;;;;Video_games_sales1082;Sid Meiers Civilization V;PC;Take-Two Interactive;2010-01-01;1.68;Strategy;90.0;7.9;;;E10+;
Windowgames_2666;Quake;PC;GT Interactive;1996-01-01;;Shooter;;;id Software;;;;Video_games_sales7888;Quake;N64;GT Interactive;1998-01-01;0.19;Shooter;;;;;;
Windowgames_2666;Quake;PC;GT Interactive;1996-01-01;;Shooter;;;id Software;;;;Video_games_sales15430;Quake 4;PC;Activision;2005-01-01;0.02;Shooter;81.0;7.6;;;M;
Windowgames_1090;The Elder Scrolls IV: Oblivion;PC;2K Games;2006-01-01;;Role-playing (RPG);;;Bethesda Softworks;;;;Video_games_sales256;The Elder Scrolls IV: Oblivion;X360;Take-Two Interactive;2006-01-01;4.39;Role-Playing;94.0;8.7;;;M;
Windowgames_1090;The Elder Scrolls IV: Oblivion;PC;2K Games;2006-01-01;;Role-playing (RPG);;;Bethesda Softworks;;;;Video_games_sales6625;The Elder Scrolls IV: Oblivion;PC;Take-Two Interactive;2006-01-01;0.26;Role-Playing;94.0;8.1;;;M;
Windowgames_1507;Grim Fandango;PC;LucasArts;1998-01-01;;Point-and-click,Puzzle,Adventure;;;LucasArts;;;;Video_games_sales13333;GrimGrimoire;PS2;Tecmo Koei;2007-01-01;0.05;Strategy;79.0;7.9;;;E10+;
Windowgames_256;Baldurs Gate II: Shadows of Amn;PC;Black Isle Studios,Interplay Entertainment;2000-01-01;;Role-playing (RPG);;;BioWare;;;;Video_games_sales14945;Baldurs Gate: Dark Alliance;GBA;Destination Software, Inc;2004-01-01;0.03;Role-Playing;76.0;6.5;;;T;
Windowgames_256;Baldurs Gate II: Shadows of Amn;PC;Black Isle Studios,Interplay Entertainment;2000-01-01;;Role-playing (RPG);;;BioWare;;;;Video_games_sales2980;Baldurs Gate: Dark Alliance II;PS2;Interplay;2004-01-01;0.68;Role-Playing;78.0;8.7;;;T;
Windowgames_538;Charlottes Web;PC;Sega;2006-01-01;;Adventure;;;Backbone Entertainment;;;;Video_games_sales2321;Avatar: The Game;PS3;Ubisoft;2009-01-01;0.9;Action;;;;;;
Windowgames_112;The Amazon Trail;PC;MECC;1996-01-01;;Simulator,Adventure;;;MECC;;;;Video_games_sales1834;Rabbids Go Home;Wii;Ubisoft;2009-01-01;1.12;Platform;78.0;8.3;;;E10+;
Windowgames_710;Creator: Harry Potter and the Chamber of Secrets;PC;Lego Interactive;2002-01-01;;Adventure;;;Qube Software;;;;Video_games_sales601;Bloodborne;PS4;Sony Computer Entertainment;2015-01-01;2.58;Action;92.0;8.6;;;M;
Windowgames_321;Beijing 2008;PC;Sega;2008-01-01;;Sport;;;Eurocom;;;;Video_games_sales2953;LEGO Rock Band;Wii;Warner Bros. Interactive Entertainment;2009-01-01;0.69;Misc;70.0;6.8;;;E10+;
Windowgames_720;Cricket 2005;PC;Electronic Arts;2005-01-01;;Sport;;;HB Studios;;;;Video_games_sales435;Dragon Quest VI: Maboroshi no Daichi;SNES;Enix Corporation;1995-01-01;3.19;Role-Playing;;;;;;
Windowgames_721;Cricket 07;PC;EA Sports;2006-01-01;;Sport;;;HB Studios;;;;Video_games_sales1365;NFL Street;PS2;Electronic Arts;2004-01-01;1.42;Sports;80.0;8.9;;;E;
Windowgames_486;Captain Quazar;PC;3DO;1996-01-01;;Shooter;;;Cyclone Studios,3DO;;;;Video_games_sales927;Yu-Gi-Oh! Forbidden Memories;PS;Konami Digital Entertainment;1999-01-01;1.88;Role-Playing;;;;;;
Windowgames_171;Army Men: Sarges War;PC;Global Star Software;2004-01-01;;Shooter;;;Global Star Software;;;;Video_games_sales3270;Bolt;DS;Disney Interactive Studios;2008-01-01;0.62;Adventure;;;;;;
Windowgames_522;Championship Manager: Season 01/02;PC;Eidos;2001-01-01;;Simulator,Sport;;;Sports Interactive;;;;Video_games_sales3194;Nightmare Creatures;PS;Sony Computer Entertainment;1997-01-01;0.63;Action;;;;;;
Windowgames_749;Cuban Missile Crisis: The Aftermath;PC;1C Company,Black Bean,Strategy First;2005-01-01;;Real Time Strategy (RTS),Strategy,Turn-based strategy (TBS),Tactical;;;G5 Software;;;;Video_games_sales591;Harry Potter and the Chamber of Secrets;PS2;Electronic Arts;2002-01-01;2.61;Action;71.0;7.5;;;E;
Windowgames_24;9: The Last Resort;PC;GT Interactive;1996-01-01;;Point-and-click,Adventure;;;Tribeca Interactive;;;;Video_games_sales1787;Asteroids;PS;Success;1998-01-01;1.15;Shooter;;;;;;
Windowgames_406;Bratz: Rock Angelz;PC;THQ;2005-01-01;;Simulator,Adventure;;;Blitz Games,AWE Games;;;;Video_games_sales397;F-1 Race;G;Nintendo;1990-01-01;3.41;Racing;;;;;;
