id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series;id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series
Video_games_sales157;Grand Theft Auto V;XOne;Take-Two Interactive;2014-01-01;5.74;Action;97.0;7.9;;;M;;PS4_id_6348;Grand Theft Auto V (PS4);PS4;Rockstar Games;2014-11-18;;Open World,First Person Shooter,Third Person Shooter;;;Rockstar North;;;
Video_games_sales38;Grand Theft Auto V;PS4;Take-Two Interactive;2014-01-01;13.36;Action;97.0;8.3;;;M;;PS4_id_6348;Grand Theft Auto V (PS4);PS4;Rockstar Games;2014-11-18;;Open World,First Person Shooter,Third Person Shooter;;;Rockstar North;;;
Video_games_sales5043;Persona 5;PS4;Atlus;2016-01-01;0.38;Role-Playing;;;;;;;PS4_id_2801;Persona 5 Royal (EU);PS4;SEGA;2020-03-31;;Role Playing,Turn Based;;;Atlus;;;
Video_games_sales5043;Persona 5;PS4;Atlus;2016-01-01;0.38;Role-Playing;;;;;;;PS4_id_2802;Persona 5 Royal (HW/TW);PS4;SEGA;2020-02-20;;Role Playing,Turn Based;;;Atlus;;;
Video_games_sales5043;Persona 5;PS4;Atlus;2016-01-01;0.38;Role-Playing;;;;;;;PS4_id_2803;Persona 5 Royal (JP);PS4;Atlus;2019-10-31;;Role Playing,Turn Based;;;Atlus;;;
Video_games_sales5043;Persona 5;PS4;Atlus;2016-01-01;0.38;Role-Playing;;;;;;;PS4_id_2804;Persona 5 Royal (KR);PS4;SEGA;2020-02-20;;Role Playing,Turn Based;;;Atlus;;;
Video_games_sales5043;Persona 5;PS4;Atlus;2016-01-01;0.38;Role-Playing;;;;;;;PS4_id_2798;Persona 5 (JP);PS4;Atlus;2016-09-15;;Role Playing,Turn Based;;;P-Studio;;;
Video_games_sales9866;Persona 5;PS3;Atlus;2016-01-01;0.12;Role-Playing;;;;;;;PS4_id_2801;Persona 5 Royal (EU);PS4;SEGA;2020-03-31;;Role Playing,Turn Based;;;Atlus;;;
Video_games_sales9866;Persona 5;PS3;Atlus;2016-01-01;0.12;Role-Playing;;;;;;;PS4_id_2802;Persona 5 Royal (HW/TW);PS4;SEGA;2020-02-20;;Role Playing,Turn Based;;;Atlus;;;
Video_games_sales9866;Persona 5;PS3;Atlus;2016-01-01;0.12;Role-Playing;;;;;;;PS4_id_2803;Persona 5 Royal (JP);PS4;Atlus;2019-10-31;;Role Playing,Turn Based;;;Atlus;;;
Video_games_sales9866;Persona 5;PS3;Atlus;2016-01-01;0.12;Role-Playing;;;;;;;PS4_id_2804;Persona 5 Royal (KR);PS4;SEGA;2020-02-20;;Role Playing,Turn Based;;;Atlus;;;
Video_games_sales9866;Persona 5;PS3;Atlus;2016-01-01;0.12;Role-Playing;;;;;;;PS4_id_2798;Persona 5 (JP);PS4;Atlus;2016-09-15;;Role Playing,Turn Based;;;P-Studio;;;
Video_games_sales2326;Hot Shots Tennis;PS2;Sony Computer Entertainment;2006-01-01;0.9;Sports;70.0;8.1;;;E;;PS4_id_1440;The Journey Down: Chapter Two;PS4;BlitWorks;2018-06-26;;Adventure,Point & Click;;;SkyGoblin;;;
Video_games_sales2929;Chocobos Dungeon 2;PS;SquareSoft;1998-01-01;0.7;Role-Playing;;;;;;;PS4_id_13;Qubit's Quest;PS4;Performance Designed Products;2019-11-01;;Platformer;;;Two Okes Entertainment;;;
