id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series;id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series
Video_games_sales671;Half-Life 2;PC;Vivendi Games;2004-01-01;2.37;Shooter;96.0;9.2;;;M;;;;;;;;;;;;;;
Video_games_sales1644;Grand Theft Auto V;PC;Take-Two Interactive;2015-01-01;1.23;Action;96.0;7.9;;;M;;;;;;;;;;;;;;
Video_games_sales9193;The Orange Box;PC;Electronic Arts;2007-01-01;0.14;Shooter;96.0;9.3;;;M;;;;;;;;;;;;;;
Video_games_sales287;Half-Life;PC;Vivendi Games;1997-01-01;4.12;Shooter;96.0;9.1;;;M;;;;;;;;;;;;;;
Video_games_sales4735;BioShock;PC;Take-Two Interactive;2007-01-01;0.41;Shooter;96.0;8.5;;;M;;;;;;;;;;;;;;
Video_games_sales3060;BioShock Infinite;PC;Take-Two Interactive;2013-01-01;0.66;Shooter;94.0;8.5;;;M;;;;;;;;;;;;;;
Video_games_sales2731;Portal 2;PC;Valve Software;2011-01-01;0.76;Shooter;95.0;8.8;;;E10+;;;;;;;;;;;;;;
Video_games_sales311;The Elder Scrolls V: Skyrim;PC;Bethesda Softworks;2011-01-01;3.92;Role-Playing;94.0;8.1;;;M;;;;;;;;;;;;;;
Video_games_sales4917;Mass Effect 2;PC;Electronic Arts;2010-01-01;0.39;Role-Playing;94.0;8.8;;;M;;;;;;;;;;;;;;
Video_games_sales13953;Grand Theft Auto: Vice City;PC;Take-Two Interactive;2003-01-01;0.04;Action;94.0;8.8;;;M;;;;;;;;;;;;;;
Video_games_sales13953;Grand Theft Auto: Vice City;PC;Take-Two Interactive;2003-01-01;0.04;Action;94.0;8.8;;;M;;;;;;;;;;;;;;
Video_games_sales6625;The Elder Scrolls IV: Oblivion;PC;Take-Two Interactive;2006-01-01;0.26;Role-Playing;94.0;8.1;;;M;;;;;;;;;;;;;;
Video_games_sales38;Grand Theft Auto V;PS4;Take-Two Interactive;2014-01-01;13.36;Action;97.0;8.3;;;M;;;;;;;;;;;;;;
Video_games_sales5043;Persona 5;PS4;Atlus;2016-01-01;0.38;Role-Playing;;;;;;;;;;;;;;;;;;;
Video_games_sales1533;Assassins Creed: Rogue;PS3;Ubisoft;2014-01-01;1.29;Action;72.0;7.5;;;M;;;;;;;;;;;;;;
Video_games_sales2019;Super Princess Peach;DS;Nintendo;2005-01-01;1.03;Platform;75.0;7.6;;;E;;;;;;;;;;;;;;
Video_games_sales1407;Far Cry 2;PS3;Ubisoft;2008-01-01;1.38;Action;85.0;6.4;;;M;;;;;;;;;;;;;;
Video_games_sales106;Mario Kart 8;WiiU;Nintendo;2014-01-01;7.23;Racing;88.0;9.1;;;E;;;;;;;;;;;;;;
Video_games_sales670;Dead Island;X360;Deep Silver;2011-01-01;2.37;Action;71.0;6.9;;;M;;;;;;;;;;;;;;
Video_games_sales471;Rayman;PS;Ubisoft;1995-01-01;3.03;Platform;;;;;;;;;;;;;;;;;;;
Video_games_sales2828;Full Spectrum Warrior;X;THQ;2004-01-01;0.73;Strategy;84.0;8.7;;;M;;;;;;;;;;;;;;
Video_games_sales14;Wii Fit;Wii;Nintendo;2007-01-01;22.7;Sports;80.0;7.7;;;E;;;;;;;;;;;;;;
Video_games_sales899;Tom Clancys Ghost Recon;PS2;Ubisoft;2002-01-01;1.94;Shooter;63.0;8.3;;;M;;;;;;;;;;;;;;
Video_games_sales2578;Moto Racer;PS;Electronic Arts;1997-01-01;0.8;Racing;;;;;;;;;;;;;;;;;;;
Video_games_sales2098;The Bouncer;PS2;Sony Computer Entertainment;2000-01-01;0.99;Action;66.0;8.0;;;T;;;;;;;;;;;;;;
Video_games_sales262;Resistance: Fall of Man;PS3;Sony Computer Entertainment;2006-01-01;4.35;Shooter;86.0;8.1;;;M;;;;;;;;;;;;;;
