id,name,platform,publishers,publicationDate,globallySoldUnits,genres,criticScore,userScore,developers,summary,rating,series,id,name,platform,publishers,publicationDate,globallySoldUnits,genres,criticScore,userScore,developers,summary,rating,series
all_games17242,Ant Nation, PlayStation 2,,"July 13, 2009",,,52.0,0.0,,"[WiiWare] The beloved childhood pastime of lazy Sundays spent with a magnifying glass and an ant farm finally arrives in its most mischievous form via the WiiWare service. You must train your colony of Super Ants using a devilishly fun toolset. Zap, torch and manipulate your ants to make them numerous enough and tough enough to survive a variety of increasingly difficult challenges. [Nintendo]",,,,,,,,,,,,,,,
all_games18559,NFL Blitz 20-02, Game Boy Advance,,"September 17, 2001",,,37.0,0.0,,"NFL Blitz 2002 for the Game Boy Advance isn't just a mere distortion of football, but a botched imitation of NFL Blitz itself.",,,,,,,,,,,,,,,
all_games16265,CrimeCraft, PC,,"August 25, 2009",,,57.0,5.9,,"CrimeCraft is a Persistent World Next-gen Shooter (PWNS) that blends a gripping, action-packed shooter experience with the best community and role-playing elements found in massively multi-player games. CrimeCraft is set in a gritty fictional city of the near future, following an ecological disaster of unprecedented scale, where the price of life is far less valuable than one’s reputation. Join thousands of players online as you learn the rules of the street, build your own gang and do whatever it takes to survive amidst the chaos. Earn a reputation. Build a gang. Kill the competition. [Vogster]",,,,,,,,,,,,,,,
all_games18168,Jonny Moseley Mad Trix, Wii,,"December 26, 2001",,,44.0,5.7,,"Show off your new school skiing tricks in Slopestyle mode and unlock Big Mountain mode to star in a ski movie! Then get heli-dropped onto a mountaintop, and pull insane grabs off snow-capped cottages, trains and more. Even use the Alaskan pipeline as a half-pipe. [3DO]",,,,,,,,,,,,,,,
all_games18083,Stop Stress: A Day of Fury, PC,,"December 7, 2009",,,45.0,3.3,,"[WiiWare] Jack's dreams have become a nightmare, and only you can help him to get out. Climb into the skin of the most stressed-out man in the world, grab the baseball bat and prepare to let off more steam than ever before. Destroy everything around you, beat a path through traffic or at the office, and face off against incredible hallucinations. How far will a day of fury take you? [Nintendo]",,,,,,,,,,,,,,,
all_games18545,Pocket Pool, PSP,,"April 18, 2007",,,37.0,0.0,,"Grab your stick and get ready to shoot pool with some Honeys! Shoot 13 different types of pool with some of the hottest honeys in the bar. Pocket Pool features a dynamic 3D engine that simulates realistic pool play from almost every angle. Start off in a honky-tonk and work your way up to the mansion or yacht – and when you win, boy will you be rewarded. Wins unlock sexy videos and pictures of the glamorous Dream models – plus more surprises! What are you waiting for? Rack 'em up! [from Eidos Interactive]",,,,,,,,,,,,,,,
all_games16310,Outlaw Volleyball Remixed, PlayStation 2,,"May 17, 2005",,,57.0,0.0,,"Choose your team, choose your court, choose your bikini and then serve up the attitude. Scantily-clad babes and seriously twisted dudes bring their famous ""Outlaw"" vibe onto the court as they bump, set, spike, AND throw punches on their way to total victory. Outlaw Volleyball provides fast, furious, and uncouth action via PS2's network adapter and everyone can experience the outrageous humor and fantastic gameplay that the ""Outlaw"" gang is known for. Features 17 half-naked characters with differing talents and playing styles; 12 offbeat courts including jailhouse, jungle, sewer, and of course, a beach; Over 50 skimpy outfits per character, including string bikinis; Powerful volleyball engine! Set, jump, spike with the best of them. Gain MOMENTUM for Turbo Moves by playing well or by literally beating up your opponents. Build your character's skills with unique mini-games and drills. [Global Star]",,,,,,,,,,,,,,,
all_games17194,Kinect Joy Ride, Wii,,"November 4, 2010",,,52.0,4.9,,"Put your avatar behind the wheel of a vehicle you select and customize to match your personal style, and drive your avatar WILD. Trick out your avatar with styles and animations to guarantee you'll stand out in the crowd. The game universe constantly evolves and expands with new downloadable content, including new stunt parks, tracks, cars, car upgrades, avatar clothing and animations, and new events. Once you're all customized, take your avatar out for a spin. Make friends around the world as you catch huge air, pull off crazy stunts, and participate in fun community events.",,,,,,,,,,,,,,,
all_games17145,Deadfall Adventures, Xbox One,,"November 15, 2013",,,53.0,6.9,,"Deadfall Adventures takes the classic adventure genre and combines it with fast paced action associated with First Person Shooters. Set in exotic locations such as ancient Mayan ruins, forbiden cities, frozen wastelands and lush, tropical jungles - Deadfall Adventures takes the player on a whirlwind adventure set in the late 1930's",,,,,,,,,,,,,,,
all_games15663,Lucidity, PC,,"October 7, 2009",,,59.0,4.8,,"[Downloadable Game] From the team that re-imagined The Secret of Monkey Island, comes Lucidity, an addictive puzzle platformer set in the surreal childlike dreamscapes of the little girl Sofi. In this challenging puzzler, keep Sofi safe as she drifts deeper into the strange new world of her dreams. Featuring stunning hand-illustrated visuals, a spellbinding original score and unique puzzle platformer gameplay, Lucidity challenges your wits, tests your reflexes, and mesmerizes your senses. A surreal fantasy: Take a trip into the surreal childlike dreamscapes of Sofi, a little girl filled with a persistent desire to explore new worlds and overcome all obstacles in her way. As she drifts into a vivid dream world where, beckoned by the kind words of her grandmother, she learns to overcome her fears, test your skills in this addictive puzzle platformer where through quick reactions and placement of unique puzzle pieces, you must create a path to help Sofi traverse safely through 27 visually stunning, hand-illustrated dreamscapes. Mesmerizing dreamscapes: Like a children's storybook come to life, get lost in mesmerizing dreamscapes detailed with beautiful hand-drawn contemporary art. Addictive puzzle-platformer gameplay: Skillfully place unique puzzle pieces designed to propel Sofi to and from suspended platforms, or over and under obstacles, in an effort to maintain her state of perpetual motion. [LucasArts]",,,,,,,,,,,,,,,
