id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series;id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series
all_games3361;Nine Hours, Nine Persons, Nine Doors; DS;;November 16, 2010;;;82;8.8;;In this game, you must help Junpei reclaim his memories and play a game of life or death known as the Nonary Game.;;;PS4_id_2885;Pity Pit (EU);PS4;eastasiasoft;2020-06-10;;Puzzle;;;Panda Indie Studio;;;
all_games604;NHL 2K3; Xbox;;November 19, 2002;;;89;6.5;;More than just familiar faces and numbers, Sega Sports NHL 2K3 delivers player realism down to size, skill, and behavior, resulting in individuals that exhibit accurate styles of play. Grinders battle for pucks in the corners, elite players see the ice and create opportunities, and fast skaters exploit their speed. The all-new Franchise Mode lets you capitalize on player accuracy to develop a team that plays your brand of hockey.;;;PS4_id_8876;Nicole;PS4;Ratalaika Games;2020-07-28;;Visual Novel;;;Winter Wolves;;;
all_games1052;DiRT 3; Xbox 360;;May 24, 2011;;;87;7.1;;Dirt 3 takes Codemasters' off-road series back to its rallying roots.;;;PS4_id_645;Raging Loop (JP);PS4;KEMCO;2017-01-11;;Visual Novel;;;KEMCO;;;
all_games3269;Pro Evolution Soccer 2008; PlayStation 2;;March 11, 2008;;;82;7.8;;PES 2008 features a brand new intelligence system, called Teamvision, that adapts and reacts to players own gameplay styles to ensure that the computer controlled opponents are always challenging and forcing the player to think and chance their style of play to avoid being out-thought by the game. It learns counter attacks that target your weaknesses and look to exploit any repetitive tactics players use. Defenders react better to danger, closing down the ball and charging at shots and the goalkeepers hold shots that are closer to them as well. Teammates make more intelligent runs into space and the close control has been sharpened to ensure quick and fluid passing and speedy attacks can be built. The next gen versions also feature extensive edit modes so players can completely customise their PES 2008 experience. [Konami];;;PS4_id_4418;SokoBunny;PS4;DillyFrameGames;2021-09-30;;Puzzle;;;DillyFrameGames;;;
all_games1835;Sid Meier's Civilization V: Brave New World; PC;;July 8, 2013;;;85;8.6;;The second expansion for Sid Meier's Civilization V, Brave New World, introduces nine new civilizations, international trade, and victory through cultural dominance.;;;PS4_id_358;EARTH DEFENSE FORCE: IRON RAIN;PS4;D3Publisher;2019-04-11;;Third Person Shooter;;;Yuke's;;;
all_games1163;Katamari Damacy REROLL; Switch;;December 7, 2018;;;87;8.3;;The stop-at-nothing pushing prince is back and ready to reroll. When the King of All Cosmos accidentally destroys all the stars in the sky, he orders you, his pint-sized princely son, to put the twinkle back in the heavens above. Join the King and Prince of Cosmos on their wacky adventure to restore the stars at home or on the go – now in full HD.;;;PS4_id_4037;Samurai Cop: The Game;PS4;;;;;;;;;;
all_games3234;The Last Guardian; PlayStation 4;;December 6, 2016;;;82;7.9;;It’s an action adventure title. It’s a story about a young boy who has been kidnapped or captured under strange circumstances. It’s about an encounter between that boy and the mysterious beast Trico amidst ancient ruins, and a story about their journey together in the hope of escaping their mysterious predicament. [Fumito Ueda via Playstation.com];;;PS4_id_2873;Pinkman+ (PS4);PS4;Ratalaika Games;2021-03-12;;Puzzle,Platformer;;;Green Dinosaur Games;;;
all_games2413;Unreal Championship; Xbox;;September 24, 2002;;;83;8.2;;The latest edition to the Unreal universe immerses you in adrenaline-packed multiplayer and single-player frag-fests. Designed specifically for Xbox and the Xbox controller, the game incorporates console-specific features such as joypad-activated special moves, double jump, power-ups, unlockable features, and more to keep gamers glued to their couches with knuckle-whitened tension. You have the choice to either fight through a series of matches in the single-player mode against computer-controlled opponents or play online against human-controlled adversaries.;;;PS4_id_9542;MXGP2 The Official Motocross Videogame;PS4;PQube;2016-06-21;;Automobile,Simulation Racing,Sports,Motocross;;;Milestone;;;
all_games2600;Ratchet & Clank Collection; PlayStation 3;;August 28, 2012;;;83;8.4;;"Also known as ""The Ratchet & Clank Trilogy"" - Ratchet & Clank Collection includes Ratchet & Clank, Ratchet & Clank: Going Commando, and Ratchet & Clank: Up Your Arsenal all remastered.";;;PS4_id_4768;Strike Force 2 - Terrorist Hunt;PS4;Polygon Art;2021-11-24;;First Person Shooter;;;Enigma Entertainment;;;
all_games2791;Nintendogs: Dachshund & Friends; DS;;August 22, 2005;;;83;7.9;;Players care for and train their puppy by petting it, walking it and buying it supplies to play with. As a puppy competes in obedience and agility trials, owners can win money to purchase other puppy breeds. The pups will vary in gender, coloration and personality. Players purchase one of several breeds available at the beginning, then start spending time with their pup. They throw flying discs and balls to improve the pup’s agility, bathe it when it gets dirty and use their own personal voice commands to train the dog to do tricks. If players train it well enough, they will excel in obedience and agility trials and disc competitions, which will earn money that they can use to buy other supplies and puppy breeds. When players earn enough cash, they can buy even more puppies to live with their original pup. Players can socialize their pups by walking them around the town, where they will meet neighborhood dogs, and maybe even find new toys. Trips to the park and gym offer valuable training time to prepare for agility trials and disc competitions. Over time, the pup's stamina will increase so players can explore farther and farther. Players also can interact wirelessly with their friends' Nintendogs – they can set their DS to bark whenever another puppy is within wireless range. [Nintendo];;;PS4_id_7837;Conga Master;PS4;Rising Star Games;2017-07-21;;Dance;;;Undercoders;;;
