id,name,platform,publishers,publicationDate,globallySoldUnits,genres,criticScore,userScore,developers,summary,rating,series,id,name,platform,publishers,publicationDate,globallySoldUnits,genres,criticScore,userScore,developers,summary,rating,series
all_games16109,The Terminator: Dawn of Fate, PlayStation 2,,"September 16, 2002",,,58.0,5.8,,"The year is 2027. The machines of Skynet have risen, reaping a bloody harvest of human flesh across the globe. You are a soldier of Tech Com, a ragged team of human resistance fighters intent upon stopping the overwhelming onslaught of cybernetic assassins in post-apocalyptic Los Angeles. Your ultimate goal is to reach a time travel device in time to send Kyle Reese back to 1984, with the hope of preventing a relentless Terminator model T-800 from murdering Sarah Connor, mother of resistance leader John Connor. If you fail in your mission, the resistance will crumble, and no one will survive the rise of the machines. The fate of humanity lies in your hands. [Infogrames]",,,,,,,,,,,,,,,
all_games17556,America, PlayStation 3,,"January 14, 2001",,,50.0,7.5,,"An RTS of power, lust, ambition, and greed, America is set in the wildest days of the Wild West. You control the destiny of a group of people (settlers, Native Americans, Mexicans, and outlaws) and lead them, by your guile, to power and prosperity. [Data Becker]",,,,,,,,,,,,,,,
all_games17874,Pac-Man Fever, PlayStation 2,,"September 2, 2002",,,47.0,6.0,,"The outrageously fun party game stars Pac-Man, Ms. Pac-Man and many other Namco favorites from popular franchises such as Tekken, Ridge Racer and Soul Calibur. Up to four players partake in more than 30 mini-games and three differently themed game boards. Try to recover all of the mini-games stolen by those pesky, party-crashing Ghosts and determine who the real party animal is! [Namco]",,,,,,,,,,,,,,,
all_games17944,Tempest, PlayStation 4,,"December 19, 2007",,,47.0,4.5,,"[Xbox Live Arcade] Tempest is one of the most well-known arcade games of all time, a true classic in the realm of video games. This intense shooter requires lots of skill and lightning-quick reflexes. Use unlimited firepower to shoot and destroy enemies in a large geometric battlefield. Download the full version to play this classic arcade game in its original form and completely re-stylized versions featuring evolved graphics and newly introduced Throttle Monkey mode. Next-gen presentation: The game supports 4:3 and 16:9 aspect ratios, including HDTV, with full-screen anti-aliasing and Dolby Digital surround sound. Arcade integration: Check top scores on the Leaderboards and master 12 challenging Achievements. [Atari]",,,,,,,,,,,,,,,
all_games15314,Exorder, PC,,"March 19, 2018",,,60.0,0.0,,"Exorder is one of those not overly-complicated tactical turn-based games with simple rules and dangerous depths. It features a single-player fantasy campaign and a multiplayer skirmishes, both online and offline.",,,,,,,,,,,,,,,
all_games17975,WWII Tank Commander, PlayStation 2,,"February 14, 2006",,,46.0,4.5,,"It's World War II, and from France to Germany, prepare to destroy the opposition and help free Europe from Nazi rule as you take command of a Sherman tank in General Patton’s Fourth Armored Division, Patton's best and most elite division. Cut off the enemy at the Brittany Peninsula, escort Allied convoys, and smash Nazi forces across the Moselle. Rescue hostages, relieve the besieged 101st Airborne at Bastogne, cross the Rhine, and drive German forces out of France. [Got Game Entertainment]",,,,,,,,,,,,,,,
all_games17022,The Game of Life 2, Xbox 360,,"March 29, 2021",,,53.0,0.0,,"Customize your peg, hop in your car and race your friends and family through THE GAME OF LIFE 2 game, a contemporary multiplayer sequel to THE GAME OF LIFE board game. Pre-order on Nintendo Switch™ now from 15th March - 29th March (08:59 PT) and get an exclusive FREE additional in-game outfit for your peg! THE GAME OF LIFE 2 is here on Nintendo Switch! This digital board game is an official, contemporary sequel to the classic THE GAME OF LIFE game. It offers more choices and more freedom every stage of the game on a fully animated and immersive 3D board. You’ve got thousands of meaningful ways to live your life before reaching the finish line. THE GAME OF LIFE 2 is another one of Marmalade Game Studio’s classic board games for kids and adults alike.",,,,,,,,,,,,,,,
all_games18535,Godzilla, PlayStation 4,,"July 14, 2015",,,38.0,3.3,,"Developed by Japanese videogame studio NATSUME ATARI, GODZILLA places players in control of one of the most famous and destructive monsters in entertainment history. As Godzilla players will trample and lay waste to cities and environments with the goal of taking out each area’s Energy Generator while collecting as much G-Energy as possible. The G-Energy can then be used to power-up Godzilla, increasing both his physical size as well as his offensive and defensive skills. The game will also allow players to utilize a dynamic Movie-Style Camera Angle System, delivering the most epic camera angles from which to destroy both a multitude of locations as well as classic enemies such as Mothra, King Ghidorah, and Mechagodzilla.",,,,,,,,,,,,,,,
all_games15568,Twin Mirror, PlayStation 4,,"December 1, 2020",,,60.0,4.8,,"Sam, a 33-year old man recovering from a recent break-up, returns to his hometown Basswood, West Virginia, for the funeral of his best friend. Understandably depressed and bitter, he feels completely out of sorts and out of place... But when he wakes up in his hotel room with a bloody shirt and no memory of his whereabouts the previous night, he embarks on a twisted investigation to find the truth. FEATURES: * Play a Thrilling Investigation -- Recall your memories and find the truth by exploring the dark undertones of a small town in West Virginia. * Embark on a Compelling Emotional Journey -- Sam's quest is also one of redemption in his journey to find himself again and heal his wounded heart. * Direct Sam's Fate -- Your choices and values decide Sam's place in life as you shape his relationships with the Basswood's inhabitants.",,,,,,,,,,,,,,,
all_games18305,G.I. Joe: The Rise of Cobra, Game Boy Advance,,"August 4, 2009",,,42.0,4.7,,"As COBRA unleashes its deadliest plot yet, the G.I. JOE Team is counting on you and your hand-picked team of heroes to lead the counterattack. Every mission is critical and so is every G.I. JOE character. Picking up where the Paramount Pictures live action film leaves off, G.I. JOE The Rise of Cobra is an accessible third person action-arcade shooter that allows players to recreate and relive the greatest moments from the film, cartoon series and action toy line. Exclusive all-new storyline that picks up where the film ends and is inspired by 45 years of rich G.I.JOE history. Two player co-op lets players choose an elite team and call in support from other G.I. JOE characters. Choose from 16 playable characters (four of which are unlockable COBRA characters) - each with a unique set of abilities and weapons. G.I. JOE characters include Snake Eyes, Duke, Heavy Duty, Ripcord, Scarlett, Shipwreck and Gung Ho. Storm Shadow has been revealed as an unlockable playable COBRA character. Characters are classified into one of three units: Commandos who do well at close range, Heavys who possess extraordinary shooting skills but do it best from a distance and Combat Soldiers who are a balance between the two. Gear up with the latest in high-tech gadgets like the film-inspired Accelerator Suit which makes you invincible and gives you short bursts of additional fire power. Drivable G.I. JOE and COBRA vehicles designed for two-player co-op. Three difficulty levels - appealing to players of all ages and skill levels (Casual, Advanced and Hardcore). 20 levels - each with 3-5 areas to explore - across four environments. 75 file cards and various intelligence items hidden throughout the game which can be used to unlock additional playable characters, special missions, 4 PSAs and other bonus content. [Electronic Arts]",,,,,,,,,,,,,,,
