id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series;id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series
Windowgames_3080;Sonic Lost World;PC;Sega;2015-01-01;;Platform,Adventure;;;Sonic Team,Sega of Europe;;;;Video_games_sales14316;Hello Kitty: Roller Rescue;PC;Empire Interactive;2005-01-01;0.03;Action;;;;;;
Windowgames_3483;Treasure Cove!;PC;The Learning Company;1997-01-01;;Adventure;;;The Learning Company;;;;Video_games_sales2341;SOCOM 4: U.S. Navy SEALs;PS3;Sony Computer Entertainment;2011-01-01;0.89;Shooter;67.0;6.3;;;M;
Windowgames_3638;Warhammer 40,000: Fire Warrior;PC;THQ;2003-01-01;;Shooter;;;Kuju Entertainment;;;;Video_games_sales8232;Back to the Future: The Game;PS4;Telltale Games;2015-01-01;0.18;Adventure;;7.1;;;T;
Windowgames_3402;TOCA Race Driver 3;PC;Codemasters;2006-01-01;;Racing,Sport;;;Codemasters;;;;Video_games_sales3731;System 3 presents Ferrari Challenge Trofeo Pirelli;Wii;System 3 Arcade Software;2008-01-01;0.54;Racing;;;;;;
Windowgames_3471;Toy Story 3: The Video Game;PC;Disney Interactive Studios;2010-01-01;;Platform,Adventure;;;Avalanche Software;;;;Video_games_sales15125;Kami Naru Kimi to;PSP;Idea Factory;2011-01-01;0.02;Adventure;;;;;;
Windowgames_3463;Total Immersion Racing;PC;Empire Interactive;2002-01-01;;Racing,Simulator;;;Razorworks;;;;Video_games_sales1261;The Simpsons Game;DS;Electronic Arts;2007-01-01;1.51;Action;69.0;7.3;;;T;
Windowgames_3306;Switchball;PC;Sierra On-Line;2007-01-01;;Simulator,Indie;;;Atomic Elbow;;;;Video_games_sales12482;Code Geass: Hangyaku no Lelouch - Lost Colors;PS2;Namco Bandai Games;2008-01-01;0.06;Adventure;;;;;;
Windowgames_3227;Starship Troopers;PC;Empire Interactive;2005-01-01;;Simulator;;;Strangelite;;;;Video_games_sales15692;Pillars of Eternity;PC;Paradox Interactive;2014-01-01;0.02;Role-Playing;89.0;8.3;;;M;
Windowgames_3107;Space Empires III;PC;Malfador Machinations;1997-01-01;;Strategy;;;Malfador Machinations;;;;Video_games_sales17065;Woodcutter Simulator 2016;PS4;Namco Bandai Games;2015-01-01;0.01;Action;;;;;;
Windowgames_3060;Snow;PC;Studio Mebius;2003-01-01;;Visual Novel;;;Studio Mebius;;;;Video_games_sales14066;Suzumiya Haruhi no Tsuisou;PSP;Namco Bandai Games;2011-01-01;0.04;Adventure;;;;;;
Windowgames_3612;Vivisector: Beast Within;PC;1C Company;2006-01-01;;Shooter;;;Action Forms;;;;Video_games_sales8837;Little League World Series Baseball 2009;Wii;Activision;2009-01-01;0.15;Sports;;;;;E;
Windowgames_3414;Tom Clancys Rainbow Six 3: Raven Shield;PC;Ubisoft;2003-01-01;;Shooter,Simulator,Tactical;;;Ubisoft Montreal,Red Storm Entertainment;;;;Video_games_sales1768;Sonic Rush Adventure;DS;Sega;2007-01-01;1.15;Platform;78.0;8.2;;;E;
