id,name,platform,publishers,publicationDate,globallySoldUnits,genres,criticScore,userScore,developers,summary,rating,series,id,name,platform,publishers,publicationDate,globallySoldUnits,genres,criticScore,userScore,developers,summary,rating,series
Windowgames_968,Do You Like Horny Bunnies?,PC,"G-Collections,ZyX",2001-01-01,,Adventure,,,ZyX,,,,,,,,,,,,,,,,
Windowgames_878,Delicious - Emilys Hopes and Fears,PC,GameHouse,2015-01-01,,"Strategy,Adventure,Indie",,,Blue Giraffe,,,,,,,,,,,,,,,,
Windowgames_1088,The Elder Scrolls III: Morrowind,PC,Bethesda SoftworksZeniMax MediaUbisoftValve Corporation,2002-01-01,,"Role-playing (RPG),Adventure",,,Bethesda Game Studios,,,,,,,,,,,,,,,,
Windowgames_1397,Gadget Trial,PC,KOGADO Studio,2006-01-01,,"Turn-based strategy (TBS),Visual Novel",,,KOGADO Studio,,,,,,,,,,,,,,,,
Windowgames_949,Disciples II: Dark Prophecy,PC,"Infogrames,Stardock",2002-01-01,,"Strategy,Turn-based strategy (TBS)",,,Strategy First,,,,,,,,,,,,,,,,
Windowgames_1150,Europa Universalis: Crown of the North,PC,"Levande Böcker,PAN Vision,Strategy First",2000-01-01,,"Simulator,Strategy",,,Paradox Entertainment,,,,,,,,,,,,,,,,
Windowgames_930,Die by the Sword,PC,Tantrum Entertainment,1998-01-01,,"Point-and-click,Puzzle,Adventure",,,Treyarch,,,,,,,,,,,,,,,,
Windowgames_1128,Enter the Matrix,PC,"Atari,Warner Bros. Interactive Entertainment",2003-01-01,,"Fighting,Shooter,Racing,""Hack and slash/Beat em up"",Adventure",,,Shiny Entertainment,,,,,,,,,,,,,,,,
Windowgames_981,Doom II: Hell on Earth,PC,GT Interactive,1995-01-01,,Shooter,,,id Software,,,,,,,,,,,,,,,,
Windowgames_1116,Empire: Total War,PC,Sega,2009-01-01,,"Real Time Strategy (RTS),Strategy",,,The Creative Assembly,,,,,,,,,,,,,,,,
Windowgames_1493,Great Invasions,PC,"Nobilis,Strategy First",2005-01-01,,"Shooter,Arcade",,,"Philippe Thibaut,Luca Cammisa",,,,,,,,,,,,,,,,
Windowgames_1057,Dynomite!,PC,PopCap Games,2002-01-01,,Strategy,,,Raptisoft GamesPopCap Games,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Video_games_sales5050,Ghost Trick: Phantom Detective,DS,Capcom,2010-01-01,0.38,Adventure,83.0,9.0,,,T,
,,,,,,,,,,,,,Video_games_sales4995,Homefront: The Revolution,PS4,Deep Silver,2016-01-01,0.38,Shooter,48.0,3.9,,,M,
,,,,,,,,,,,,,Video_games_sales3536,Naruto: Ultimate Ninja 2,PS2,Namco Bandai Games,2004-01-01,0.57,Fighting,73.0,7.9,,,T,
,,,,,,,,,,,,,Video_games_sales6104,Dead Rising: Chop Till You Drop,Wii,Capcom,2009-01-01,0.29,Action,61.0,6.5,,,M,
,,,,,,,,,,,,,Video_games_sales6904,Singularity,PS3,Activision,2010-01-01,0.24,Shooter,77.0,7.7,,,M,
,,,,,,,,,,,,,Video_games_sales6084,Fable: The Journey,X360,Microsoft Game Studios,2012-01-01,0.29,Role-Playing,61.0,4.7,,,T,
,,,,,,,,,,,,,Video_games_sales5390,Company of Heroes 2,PC,THQ,2013-01-01,0.34,Strategy,80.0,2.1,,,M,
,,,,,,,,,,,,,Video_games_sales3572,Yokai Sangokushi,3DS,Level 5,2016-01-01,0.57,Action,,,,,,
,,,,,,,,,,,,,Video_games_sales6789,Monster Jam: Path of Destruction,PS3,Activision,2010-01-01,0.25,Racing,,6.3,,,E,
,,,,,,,,,,,,,Video_games_sales5837,DmC: Devil May Cry,PS4,Capcom,2015-01-01,0.31,Action,,,,,,
,,,,,,,,,,,,,Video_games_sales5739,Madden NFL 2004,GBA,Electronic Arts,2003-01-01,0.31,Sports,70.0,6.6,,,E,
,,,,,,,,,,,,,Video_games_sales4269,MX vs. ATV: Alive,PS3,THQ,2011-01-01,0.46,Racing,61.0,6.7,,,E,
