id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series;id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series
Video_games_sales2725;The Sims 3;3DS;Electronic Arts;2011-01-01;0.76;Simulation;52.0;3.3;;;T;;PS4_id_8524;Bokuhime Project;PS4;Nippon Ichi Software;2020-04-23;;Visual Novel;;;Wizard Soft;;;
Video_games_sales888;Who wants to be a millionaire;PC;Disney Interactive Studios;1999-01-01;1.94;Misc;;;;;E;;PS4_id_1990;Troubleshooter;PS4;KODOBUR;2020-04-10;;Shoot 'em up;;;KODOBUR;;;
Video_games_sales1473;Battlefield: Bad Company;PS3;Electronic Arts;2008-01-01;1.34;Shooter;84.0;8.1;;;T;;PS4_id_2915;Pizza Titan Ultra (EU);PS4;Breakfall;2018-08-23;;Mech;;;Breakfall;;;
Video_games_sales2968;NFL Xtreme;PS;Sony Computer Entertainment;1998-01-01;0.69;Sports;;;;;;;PS4_id_481;Endocrisis;PS4;Arturo Buschmann;2021-08-29;;Shoot 'em up;;;Arturo Buschmann;;;
Video_games_sales1586;Brian Lara Cricket;PS;Codemasters;1998-01-01;1.26;Sports;;;;;;;PS4_id_5601;Drawn to Death: Limited Access;PS4;Sony Computer Entertainment;2015-11-24;;Third Person Shooter;;;The Bartlet Jones Supernatural Detective Agency;;;
Video_games_sales2698;Sonic Unleashed;PS2;Sega;2008-01-01;0.76;Platform;66.0;6.8;;;E10+;;PS4_id_7912;Crash Team Racing Nitro-Fueled;PS4;Activision;2019-06-21;;Automobile,Arcade Racing;;;Beenox;;;
Video_games_sales1538;Mario & Luigi: Partners in Time;DS;Nintendo;2005-01-01;1.29;Role-Playing;;;;;;;PS4_id_2562;OneeChanbara ORIGIN;PS4;D3Publisher,Clouded Leopard Entertainment;2020-10-14;;Hack & Slash;;;Tamsoft;;;
Video_games_sales1470;Lost Planet: Extreme Condition;X360;Capcom;2006-01-01;1.34;Shooter;79.0;7.1;;;T;;PS4_id_8503;Bloons TD 5;PS4;Ninja Kiwi;2017-05-09;;Strategy,Tower Defence;;;Ninja Kiwi;;;
Video_games_sales1964;Aliens vs Predator;X360;Sega;2010-01-01;1.06;Shooter;64.0;7.3;;;M;;PS4_id_3987;SaGa Scarlet Grace Ambitions;PS4;Square Enix;2019-12-03;;Role Playing,Turn Based;;;Square Enix;;;
Video_games_sales428;Tekken;PS;Sony Computer Entertainment;1995-01-01;3.24;Fighting;;;;;;;PS4_id_2491;OKAGE: Shadow King;PS4;Sony Computer Entertainment;2016-03-22;;Role Playing,Turn Based;;;Zener Works;;;
Video_games_sales1670;The Magical Quest starring Mickey Mouse;SNES;Capcom;1992-01-01;1.21;Platform;;;;;;;PS4_id_3189;A Memoir Blue (PS4);PS4;;;;;;;;;;
Video_games_sales2274;SpongeBob SquarePants: The Yellow Avenger;PSP;THQ;2006-01-01;0.92;Action;48.0;6.4;;;E;;PS4_id_2662;OVIVO (EU) (PS4);PS4;Sometimes You;2019-07-03;;Platformer;;;IzHard;;;
