id,name,platform,publishers,publicationDate,globallySoldUnits,genres,criticScore,userScore,developers,summary,rating,series,id,name,platform,publishers,publicationDate,globallySoldUnits,genres,criticScore,userScore,developers,summary,rating,series
Video_games_sales12347,NHL Hitz Pro,X,Midway Games,2003-01-01,0.07,Sports,81.0,8.8,,,E,,,,,,,,,,,,,,
Video_games_sales11233,El Tigre: The Adventures of Manny Rivera,DS,THQ,2007-01-01,0.09,Platform,53.0,,,,E,,,,,,,,,,,,,,
Video_games_sales10534,The Penguins of Madagascar: Dr. Blowhole Returns - Again!,DS,THQ,2011-01-01,0.1,Action,,,,,,,,,,,,,,,,,,,
Video_games_sales12852,Nobunaga no Yabou: Souzou,PS4,Tecmo Koei,2014-01-01,0.06,Strategy,,,,,,,,,,,,,,,,,,,
Video_games_sales11538,Yamakawa Shuppansha Kanshuu: Shousetsu Sekaishi ,DS,Namco Bandai Games,2007-01-01,0.08,Misc,,,,,,,,,,,,,,,,,,,
Video_games_sales12139,Dream Dance & Cheer,Wii,Zoo Games,2009-01-01,0.07,Misc,,,,,,,,,,,,,,,,,,,
Video_games_sales13114,Samantha Swift and the Hidden Roses of Athena,DS,Unknown,2010-01-01,0.05,Adventure,,,,,E,,,,,,,,,,,,,,
Video_games_sales13836,NBA in the Zone 2000,N64,Konami Digital Entertainment,2000-01-01,0.04,Sports,,,,,,,,,,,,,,,,,,,
Video_games_sales11641,Game of Thrones,PC,Focus Home Interactive,2012-01-01,0.08,Role-Playing,58.0,6.5,,,M,,,,,,,,,,,,,,
Video_games_sales13765,Doki Doki! PreCure Narikiri Life!,3DS,Namco Bandai Games,2013-01-01,0.04,Action,,,,,,,,,,,,,,,,,,,
Video_games_sales13400,Rodea the Sky Soldier,3DS,Nippon Ichi Software,2015-01-01,0.05,Action,45.0,5.6,,,E10+,,,,,,,,,,,,,,
Video_games_sales11489,I Am In The Movie,Wii,Namco Bandai Games,2012-01-01,0.08,Simulation,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,PS4_id_6370,Gravity Oddity (PS4),PS4,,,,,,,,,,
,,,,,,,,,,,,,PS4_id_7470,ZJ the Ball (Level 2) (EU),PS4,Breakthrough Gaming,2021-08-22,,Platformer,,,Breakthrough Gaming,,,
,,,,,,,,,,,,,PS4_id_7236,Let's Sing 2016 (EU),PS4,Deep Silver,2015-10-23,,Music,,,Voxler,,,
,,,,,,,,,,,,,PS4_id_6648,Hidden (EU),PS4,Sabec,2020-07-03,,Survival Horror,,,Sabec,,,
,,,,,,,,,,,,,PS4_id_6691,HoloBall,PS4,TreeFortress Games,2016-11-22,,Sports,,,TreeFortress Games,,,
,,,,,,,,,,,,,PS4_id_7217,LEGO Worlds,PS4,WB Games,2017-03-07,,Simulation,,,Traveller's Tales,,,
,,,,,,,,,,,,,PS4_id_7103,KURSK,PS4,Forever Entertainment,2021-09-03,,Adventure,,,"Storm Trident,Jujubee",,,
,,,,,,,,,,,,,PS4_id_6106,Furuki Yoki Jidai no Boukentan,PS4,Daidai,2016-12-15,,"Role Playing,Strategy,Turn Based",,,Daidai,,,
,,,,,,,,,,,,,PS4_id_6149,Games of Glory,PS4,Lightbulb Crew,2021-04-03,,Shoot 'em up,,,Lightbulb Crew,,,
,,,,,,,,,,,,,PS4_id_6564,Hayfever,PS4,Zordix,2020-02-25,,Platformer,,,Pixadome,,,
,,,,,,,,,,,,,PS4_id_6389,Gripper,PS4,,,,,,,,,,
,,,,,,,,,,,,,PS4_id_7348,Loopindex (EU) (PS4),PS4,Ratalaika Games,2021-06-25,,Puzzle,,,Somepx,,,
