id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series;id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series
Video_games_sales11503;Slayers Royal;PS;Kadokawa Shoten;1998-01-01;0.08;Role-Playing;;;;;;;wikidata_id_39433;Karous;Sega Dreamcast;;2007-03-08;;;;;;;;
Video_games_sales12902;Hail to the Chimp;X360;Gamecock;2008-01-01;0.06;Misc;52.0;6.1;;;T;;wikidata_id_77218;Home Designer - Living Room;Microsoft Windows;;2020-08-26;;;;;;;;
Video_games_sales10996;Rygar: The Battle of Argus;Wii;Rising Star Games;2008-01-01;0.09;Action;52.0;7.0;;;T;;wikidata_id_47999;Mario vs. Donkey Kong: Mini-Land Mayhem!;Nintendo DS;;2010-11-14;;;;;;;;Mario vs. Donkey Kong
Video_games_sales11044;Running Wild;PS;989 Studios;1997-01-01;0.09;Racing;;;;;;;wikidata_id_75924;Fallout: New Vegas — Old World Blues;PlayStation 3;;2011-07-19;;;;;;;;Fallout
Video_games_sales12293;Lucian Bees: Justice Yellow / Evil Violet;PS2;5p;2010-01-01;0.07;Adventure;;;;;;;wikidata_id_18637;Dragon Valor;PlayStation;;1999-12-02;;;;;;;;
Video_games_sales11385;Zoids: Legacy;GBA;Tomy Corporation;2003-01-01;0.08;Role-Playing;;8.9;;;E;;wikidata_id_86492;Overrogue;Android;;2022-07-07;;;;;;;;
Video_games_sales11034;Shrek SuperSlam;X;Activision;2005-01-01;0.09;Action;71.0;9.3;;;E10+;;wikidata_id_4845;5th Gear;Commodore Amiga;;1988-01-01;;;;;;;;
Video_games_sales10935;PhotoKano;PSP;Kadokawa Shoten;2012-01-01;0.09;Adventure;;;;;;;wikidata_id_58065;Grim Legends: The Forsaken Bride;macOS;;2014-02-25;;;;;;;Teen;
Video_games_sales13651;Conflict: Desert Storm II - Back to Bagdhad;GC;SCi;2004-01-01;0.04;Shooter;;;;;;;wikidata_id_73429;Puzzle Fighter;Android;;2017-11-01;;;;;;;;
Video_games_sales13244;The Lost Vikings;GBA;Activision;2003-01-01;0.05;Puzzle;75.0;9.1;;;E;;wikidata_id_8216;Patton Versus Rommel;Classic Mac OS;;1987-01-01;;;;;;;;
Video_games_sales11872;The Legend of Heroes: Trails in the Sky First Chapter;PSV;Kadokawa Shoten;2015-01-01;0.07;Role-Playing;;;;;;;wikidata_id_73873;Black Rock Shooter Arcana;Mobage;;2012-11-21;;;;;;;;Black Rock Shooter
Video_games_sales12470;Meitantei Conan: Aoki Houseki no Rinbukyoku;DS;Namco Bandai Games;2011-01-01;0.06;Adventure;;;;;;;wikidata_id_2327;The Fidelity Chessmaster 2100;Atari ST;;1988-01-01;;;;;;;;Chessmaster
