id,name,platform,publishers,publicationDate,globallySoldUnits,genres,criticScore,userScore,developers,summary,rating,series,id,name,platform,publishers,publicationDate,globallySoldUnits,genres,criticScore,userScore,developers,summary,rating,series
Video_games_sales7600,All Star Pro-Wrestling,PS2,SquareSoft,2000-01-01,0.2,Fighting,,,,,,,,,,,,,,,,,,,
Video_games_sales7969,One Piece: Unlimited Adventure,Wii,Namco Bandai Games,2007-01-01,0.19,Adventure,67.0,8.5,,,T,,,,,,,,,,,,,,
Video_games_sales10099,Pac n Roll,DS,Namco Bandai Games,2005-01-01,0.11,Platform,72.0,,,,E,,,,,,,,,,,,,,
Video_games_sales8405,N3 II: Ninety-Nine Nights,X360,Microsoft Game Studios,2010-01-01,0.17,Action,,,,,,,,,,,,,,,,,,,
Video_games_sales9988,LEGO Batman 2: DC Super Heroes,WiiU,Warner Bros. Interactive Entertainment,2013-01-01,0.12,Action,77.0,7.3,,,E10+,,,,,,,,,,,,,,
Video_games_sales7748,Warriors Orochi,X360,Tecmo Koei,2007-01-01,0.2,Action,53.0,7.4,,,T,,,,,,,,,,,,,,
Video_games_sales9352,Spider-Man: Edge of Time,DS,Activision,2011-01-01,0.14,Action,50.0,,,,E10+,,,,,,,,,,,,,,
Video_games_sales8385,Bee Movie Game,X360,Activision,2007-01-01,0.17,Action,71.0,5.8,,,E,,,,,,,,,,,,,,
Video_games_sales7308,KORG DS-10 Synthesizer,DS,AQ Interactive,2008-01-01,0.22,Misc,82.0,8.2,,,E,,,,,,,,,,,,,,
Video_games_sales8810,American Chopper,X,Zoo Digital Publishing,2004-01-01,0.15,Racing,44.0,5.9,,,T,,,,,,,,,,,,,,
Video_games_sales7657,Tekken 3D: Prime Edition,3DS,Nintendo,2012-01-01,0.2,Fighting,64.0,5.9,,,T,,,,,,,,,,,,,,
Video_games_sales8219,SimCity Creator (JP sales),DS,Electronic Arts,2008-01-01,0.18,Simulation,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,C:\Users\flola\IONOS HiD38374,Freewar,web browser,,2003-11-10T00:00:00,,,,,,,,
,,,,,,,,,,,,,C:\Users\flola\IONOS HiD37313,Full Pipe,Game Boy Advance,,2003-11-28T00:00:00,,,,,,,,
,,,,,,,,,,,,,C:\Users\flola\IONOS HiD38398,Arctic Tale,Nintendo DS,,2007-10-25T00:00:00,,,,,,,,
,,,,,,,,,,,,,C:\Users\flola\IONOS HiD39559,Kung Fu Panda,Wii,,2008-06-03T00:00:00,,,,,,,Everyone 10+,
,,,,,,,,,,,,,C:\Users\flola\IONOS HiD40887,Pro Evolution Soccer 5,PlayStation Portable,,2005-08-04T00:00:00,,,,,,,Everyone,eFootball
,,,,,,,,,,,,,C:\Users\flola\IONOS HiD44105,Code Lyoko: Quest for Infinity,Wii,,2007-11-16T00:00:00,,,,,,,Everyone 10+,Code Lyoko
,,,,,,,,,,,,,C:\Users\flola\IONOS HiD46430,Need for Speed: Edge,Microsoft Windows,,2016-05-06T00:00:00,,,,,,,,Need for Speed
,,,,,,,,,,,,,C:\Users\flola\IONOS HiD51617,Edna & Harvey: Harvey's New Eyes,Linux,,2012-10-01T00:00:00,,,,,,,Teen,
,,,,,,,,,,,,,C:\Users\flola\IONOS HiD38375,Mobile Suit Gundam SEED: Destiny,Game Boy Advance,,2004-01-01T00:00:00,,,,,,,,
,,,,,,,,,,,,,C:\Users\flola\IONOS HiD48294,Feral Fury,Xbox One,,2017-04-03T00:00:00,,,,,,,Teen,
,,,,,,,,,,,,,C:\Users\flola\IONOS HiD50518,Q96624412,macOS,,2016-06-16T00:00:00,,,,,,,,
,,,,,,,,,,,,,C:\Users\flola\IONOS HiD43443,Tom Clancy's Ghost Recon Advanced Warfighter 2,PlayStation Portable,,2007-03-06T00:00:00,,,,,,,Teen,Tom Clancy’s Ghost Recon
