Platform name from Dataset_B;Platform name from Dataset_D;Platform name from Dataset_A;Platform name from Dataset_C;Platform name from Dataset_E;checked using a sample;imoputed for Dataset_C
;; PlayStation Vita;PSV;PlayStation Vita;;
PC;; PC;PC;Microsoft Windows, PC, Universal Windows Platform, Windows 9x, Windows XP Service Pack 3, Windows 7, Windows 2000;;
;; PlayStation;PS;PlayStation;;
;; DS;DS;Nintendo DS;;
;; Dreamcast;DC;Sega Dreamcast;;
;; Wii;Wii;Wii;;
;; PSP;PSP;PlayStation Portable;;
;; Xbox;X;Xbox;1;
;; Xbox 360;X360;Xbox 360;;
;; Xbox Series X;XSX;Xbox Series X and Series S;1;1
;; Xbox One;XOne;Xbox One;;
;; PlayStation 2;PS2;PlayStation 2;;
;; PlayStation 5;PS5;PlayStation 5;;1
;; GameCube;GC;Nintendo GameCube;1;
;; Switch;NSW;Nintendo Switch;;1
;; Game Boy Advance;GBA;Game Boy Advance;;
;PS4; PlayStation 4;PS4;PlayStation 4;1;
;; 3DS;3DS;Nintendo 3DS family, New Nintendo 3DS, Nintendo 3DS;;
;; Wii U;WiiU;Wii U;;
;; Stadia;STA;;1;1
;; PlayStation 3;PS3;PlayStation 3;;
;; Nintendo 64;N64;Nintendo 64;;
;;;G;Game Boy;;
;;;SAT;Sega Saturn;;
;;;NES;Nintendo Entertainment System;;
;;;SNES;Super Nintendo Entertainment System;;
;;;GG;Sega Game Gear;;
;;;GEN;Sega Genesis;;
;;;NG;Neo Geo;1;
;;;SCD;Sega CD;1;
;;;TG16;TurboGrafx-16;;
;;;2600;Atari 2600;;
;;;PCFX;PC-FX;;
;;;3DO;3DO Interactive Multiplayer;1;
;;;WS;WonderSwan;1;
;;;;PlayChoice-10;;
;;;;Terebikko;;
;;;;TI-83 Plus;;
;;;;N-Gage;;
;;;;mobile phone;;
;;;;Game & Watch series;;
;;;;Naomi 2;;
;;;;Tandy Video Information System;;
;;;;Fairchild Channel F;;
;;;;X Window System;;
;;;;DVD player;;
;;;;Pentium 4;;
;;;;Intel P6;;
;;;;Thomson TO7-70;;
