id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series;name_preprocessed
Windowgames_1;101 Dalmatians: Escape from DeVil Manor;PC;Disney Interactive;1999-01-01;;Puzzle,Strategy,Adventure;;;DreamForge Intertainment;;;;101 dalmatians escape from devil manor
Windowgames_2;102 Dalmatians: Puppies to the Rescue;PC;Eidos Interactive;2000-01-01;;Platform,Adventure;;;Crystal Dynamics;;;;102 dalmatians puppies to the rescue
Windowgames_3;140;PC;Abstraction Games;2016-01-01;;Music,Platform,Puzzle,Strategy,Indie;;;Double Fine Productions;;;;140
Windowgames_4;1001 Spikes;PC;Nicalis;2014-01-01;;Platform,Adventure,Indie;;;8bits Fanatics;;;;1001 spikes
Windowgames_5;The 11th Hour;PC;Virgin Interactive;1995-01-01;;Point-and-click,Puzzle,Adventure;;;Trilobyte;;;;the 11th hour
Windowgames_6;12Riven: The Psi-Climinal of Integral;PC;KID,Cyberfront,SDR Project;2008-01-01;;Adventure,Visual Novel;;;KID,Cyberfront;;;;12riven the psicliminal of integral
Windowgames_7;1914 Shells of Fury;PC;Strategy First,h2f Informationssysteme;2007-01-01;;Simulator;;;Rondomedia;;;;1914 shells of fury
Windowgames_8;2 on 2 Open Ice Challenge;PC;Midway Games;1997-01-01;;Sport;;;Midway Games;;;;2 on 2 open ice challenge
Windowgames_9;2002 FIFA World Cup;PC;EA Sports;2002-01-01;;Sport;;;EA Canada;;;;2002 fifa world cup
Windowgames_10;2006 FIFA World Cup;PC;EA Sports;2006-01-01;;Sport;;;EA Canada;;;;2006 fifa world cup
Windowgames_11;25 To Life;PC;Eidos Interactive;2006-01-01;;Shooter;;;Avalanche Software;;;;25 to life
Windowgames_12;3D Ultra Minigolf;PC;Sierra On-Line;2007-01-01;;Sport;;;Wanako Games;;;;3d ultra minigolf
Windowgames_13;3-D Ultra Pinball;PC;Sierra On-Line;1995-01-01;;Pinball;;;Dynamix;;;;3d ultra pinball
Windowgames_14;3D Body Adventure;PC;Levande Böcker;1995-01-01;;Point-and-click;;;Knowledge Adventure;;;;3d body adventure
Windowgames_15;428: Shibuya Scramble;PC;Spike Chunsoft;2018-01-01;;Adventure,Visual Novel;;;Spike Chunsoft;;;;428 shibuya scramble
Windowgames_16;4x4 EVO 2;PC;Gathering of Developers;2001-01-01;;Racing,Simulator;;;Terminal Reality;;;;4x4 evo 2
Windowgames_17;4x4 Evolution;PC;Gathering of Developers;2000-01-01;;Racing;;;Terminal Reality;;;;4x4 evolution
Windowgames_18;5;PC;Visual Arts;2008-01-01;;Shooter,Adventure;;;Ram;;;;5
