id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series;name_preprocessed
Video_games_sales1;Wii Sports;Wii;Nintendo;2006-01-01;82.54;Sports;76.0;8.0;;;E;;wii sports
Video_games_sales2;Super Mario Bros.;NES;Nintendo;1985-01-01;40.24;Platform;;;;;;;super mario bros
Video_games_sales3;Mario Kart Wii;Wii;Nintendo;2008-01-01;35.57;Racing;82.0;8.3;;;E;;mario kart wii
Video_games_sales4;Wii Sports Resort;Wii;Nintendo;2009-01-01;32.78;Sports;80.0;8.0;;;E;;wii sports resort
Video_games_sales5;Pokemon Red/Pokemon Blue;G;Nintendo;1996-01-01;31.37;Role-Playing;;;;;;;pokemon redpokemon blue
Video_games_sales6;Tetris;G;Nintendo;1989-01-01;30.26;Puzzle;;;;;;;tetris
Video_games_sales7;New Super Mario Bros.;DS;Nintendo;2006-01-01;29.81;Platform;89.0;8.5;;;E;;new super mario bros
Video_games_sales8;Wii Play;Wii;Nintendo;2006-01-01;28.92;Misc;58.0;6.6;;;E;;wii play
Video_games_sales9;New Super Mario Bros. Wii;Wii;Nintendo;2009-01-01;28.38;Platform;87.0;8.4;;;E;;new super mario bros wii
Video_games_sales10;Duck Hunt;NES;Nintendo;1984-01-01;28.31;Shooter;;;;;;;duck hunt
Video_games_sales11;Nintendogs;DS;Nintendo;2005-01-01;24.67;Simulation;;;;;;;nintendogs
Video_games_sales12;Mario Kart DS;DS;Nintendo;2005-01-01;23.22;Racing;91.0;8.6;;;E;;mario kart ds
Video_games_sales13;Pokemon Gold/Pokemon Silver;G;Nintendo;1999-01-01;23.1;Role-Playing;;;;;;;pokemon goldpokemon silver
Video_games_sales14;Wii Fit;Wii;Nintendo;2007-01-01;22.7;Sports;80.0;7.7;;;E;;wii fit
Video_games_sales15;Kinect Adventures!;Xbox 360;Microsoft Game Studios;2010-01-01;21.86;Misc;61.0;6.3;;;E;;kinect adventures
Video_games_sales16;Wii Fit Plus;Wii;Nintendo;2009-01-01;21.79;Sports;80.0;7.4;;;E;;wii fit plus
Video_games_sales17;Grand Theft Auto V;PlayStation 3;Take-Two Interactive;2013-01-01;21.12;Action;97.0;8.2;;;M;;grand theft auto v
Video_games_sales18;Grand Theft Auto: San Andreas;PlayStation 2;Take-Two Interactive;2004-01-01;20.81;Action;95.0;9.0;;;M;;grand theft auto san andreas
Video_games_sales19;Super Mario World;SNES;Nintendo;1990-01-01;20.61;Platform;;;;;;;super mario world
Video_games_sales20;Brain Age: Train Your Brain in Minutes a Day;DS;Nintendo;2005-01-01;20.15;Misc;77.0;7.9;;;E;;brain age train your brain in minutes a day
Video_games_sales21;Pokemon Diamond/Pokemon Pearl;DS;Nintendo;2006-01-01;18.25;Role-Playing;;;;;;;pokemon diamondpokemon pearl
Video_games_sales22;Super Mario Land;G;Nintendo;1989-01-01;18.14;Platform;;;;;;;super mario land
Video_games_sales23;Super Mario Bros. 3;NES;Nintendo;1988-01-01;17.28;Platform;;;;;;;super mario bros 3
Video_games_sales24;Grand Theft Auto V;Xbox 360;Take-Two Interactive;2013-01-01;16.3;Action;97.0;8.1;;;M;;grand theft auto v
Video_games_sales25;Grand Theft Auto: Vice City;PlayStation 2;Take-Two Interactive;2002-01-01;16.15;Action;95.0;8.7;;;M;;grand theft auto vice city
Video_games_sales26;Pokemon Ruby/Pokemon Sapphire;Game Boy Advance;Nintendo;2002-01-01;15.85;Role-Playing;;;;;;;pokemon rubypokemon sapphire
Video_games_sales27;Brain Age 2: More Training in Minutes a Day;DS;Nintendo;2005-01-01;15.29;Puzzle;77.0;7.1;;;E;;brain age 2 more training in minutes a day
Video_games_sales28;Pokemon Black/Pokemon White;DS;Nintendo;2010-01-01;15.14;Role-Playing;;;;;;;pokemon blackpokemon white
Video_games_sales29;Gran Turismo 3: A-Spec;PlayStation 2;Sony Computer Entertainment;2001-01-01;14.98;Racing;95.0;8.4;;;E;;gran turismo 3 aspec
Video_games_sales30;Pokemon X/Pokemon Y;3DS;Nintendo;2013-01-01;14.92;Role-Playing;;;;;;;pokemon xpokemon y
Video_games_sales31;Call of Duty: Black Ops 3;PlayStation 4;Activision;2015-01-01;14.8;Shooter;;;;;;;call of duty black ops 3
Video_games_sales32;Call of Duty: Modern Warfare 3;Xbox 360;Activision;2011-01-01;14.77;Shooter;88.0;3.4;;;M;;call of duty modern warfare 3
