id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series
PS4_id_1;Q*Bert Rebooted; PlayStation 4;LOOT Interactive;2015-02-17;;Action;;;Gonzo Games;;;
PS4_id_2;Q*Bert Rebooted (EU); PlayStation 4;LOOT Interactive;2015-07-22;;Action;;;LOOT Interactive;;;
PS4_id_3;Q.U.B.E. 2; PlayStation 4;Trapped Nerve Games;2018-03-13;;Puzzle,Platformer;;;Toxic Games;;;
PS4_id_4;Q.U.B.E. Director's Cut; PlayStation 4;GRIP Digital;2015-07-21;;Puzzle,Platformer;;;Toxic Games;;;
PS4_id_5;Quake (PS4); PlayStation 4;Bethesda Softworks;2021-08-19;;First Person Shooter;;;MachineGames,Nightdive Studios,id Software;;;
PS4_id_6;Quantic Pinball; PlayStation 4;;;;;;;;;;
PS4_id_7;Quantum Error; PlayStation 4;;;;;;;;;;
PS4_id_8;Quantum League; PlayStation 4;;;;;;;;;;
PS4_id_9;Quantum Replica; PlayStation 4;PQube;2021-05-14;;Stealth;;;ON3D Studios;;;
PS4_id_10;Quantum Replica (EU); PlayStation 4;PQube;2021-05-14;;Stealth;;;ON3D Studios;;;
PS4_id_11;Quar: Infernal Machines; PlayStation 4;Hoplite Research;2019-05-15;;Strategy,Turn Based;;;Funbox Media;;;
PS4_id_12;Quar: Infernal Machines (EU); PlayStation 4;Hoplite Research;2019-03-15;;Strategy,Turn Based;;;Funbox Media;;;
PS4_id_13;Qubit's Quest; PlayStation 4;Performance Designed Products;2019-11-01;;Platformer;;;Two Okes Entertainment;;;
PS4_id_14;QUByte Classics - Brave Battle Saga: The Legend of the Magic Warrior; PlayStation 4;;;;;;;;;;
PS4_id_15;QUByte Classics - Canon: Legends of the New Gods; PlayStation 4;;;;;;;;;;
PS4_id_16;QUByte Classics - The Humans; PlayStation 4;;;;;;;;;;
PS4_id_17;QUByte Classics - The Immortal by PIKO; PlayStation 4;QUByte Interactive;2021-10-28;;Action-Adventure;;;Piko Interactive;;;
PS4_id_18;Queen's Quest 2: Stories of Forgotten Past; PlayStation 4;Artifex Mundi;2019-02-22;;Adventure,Point & Click;;;Brave Giant;;;
PS4_id_19;Queen's Quest 3: The End of Dawn; PlayStation 4;Artifex Mundi;2019-06-11;;Adventure,Point & Click;;;Brave Giant;;;
PS4_id_20;Queen's Quest 4: Sacred Truce; PlayStation 4;Artifex Mundi;2019-10-08;;Adventure,Point & Click;;;Brave Giant;;;
PS4_id_21;Quest Hunter; PlayStation 4;2 Zombie Games;2020-09-04;;Action-RPG,Role Playing;;;2 Zombie Games;;;
PS4_id_22;Quest of Dungeons; PlayStation 4;Upfall Studios;2017-01-17;;Roguelite,Role Playing,Turn Based,Dungeon Crawler;;;Upfall Studios;;;
PS4_id_23;Quick Mafs (EU) (PS4); PlayStation 4;Webnetics;2021-11-20;;;;;Webnetics;;;
PS4_id_24;Quick Mafs (PS4); PlayStation 4;Webnetics;2021-11-20;;;;;Webnetics;;;
PS4_id_25;Quiplash; PlayStation 4;Jackbox Games;2015-06-30;;Party;;;Jackbox Games;;;
