id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series
wikidata_id_9;Tales of Phantasia; Game Boy Advance;;1995-12-15;;;;;;;Everyone 10+;Tales
wikidata_id_10;CyberGladiators; PC;;1996-01-01;;;;;;;;
wikidata_id_12;NASCAR Racing 2; PC;;1996-01-01;;;;;;;;
wikidata_id_17;Battle Chess II: Chinese Chess; PC;;1990-01-01;;;;;;;;
wikidata_id_21;Xenophage: Alien Bloodsport; PC;;1995-12-01;;;;;;;;
wikidata_id_23;'99 Kōshien; PlayStation;;1999-01-01;;;;;;;;
wikidata_id_25;Battleground 9: Chickamauga; PC;;1999-01-01;;;;;;;;
wikidata_id_26;DigimonWorld: Digital Card Battle; PlayStation;;1999-01-01;;;;;;;;
wikidata_id_29;Jumping Flash!; PSP;;1995-04-28;;;;;;;;
wikidata_id_38;Mankind; PC;;1998-12-01;;;;;;;;
wikidata_id_54;Angelique Tenkū no Requiem; PlayStation;;1998-01-01;;;;;;;;
wikidata_id_65;Xuan-Yuan Sword: Dance of the Maple Leaves; PC;;1995-01-06;;;;;;;;
wikidata_id_86;Hermie Hopperhead: Scrap Panic; PlayStation;;1996-12-15;;;;;;;;
wikidata_id_87;Jeff Wayne's The War of the Worlds; PlayStation;;1999-07-19;;;;;;;;
wikidata_id_104;Fallen Haven; PC;;1997-01-01;;;;;;;;
wikidata_id_107;Eisei Meijin; PlayStation;;1995-09-08;;;;;;;;Eisei Meijin
wikidata_id_119;Omega Boost; PlayStation;;1999-04-22;;;;;;;Everyone;
wikidata_id_121;Ogre Battle: The March of the Black Queen; PlayStation;;1993-03-12;;;;;;;Everyone;
wikidata_id_122;Lethal Enforcers II: Gun Fighters; PlayStation;;1994-05-11;;;;;;;Mature 17+;Lethal Enforcers
wikidata_id_124;Columns III; PC;;1993-10-15;;;;;;;Everyone;
wikidata_id_125;Darkstone; PlayStation;;1999-07-31;;;;;;;Teen;
wikidata_id_131;NHL 98; PlayStation;;1997-09-30;;;;;;;;NHL
wikidata_id_141;Rippin' Riders Snowboarding; Dreamcast;;1999-08-26;;;;;;;;
wikidata_id_147;Stay Tooned!; PC;;1996-01-01;;;;;;;;
wikidata_id_164;Firestorm: Thunderhawk 2; PC;;1996-05-24;;;;;;;;
wikidata_id_165;Fierce Harmony; PC;;1999-09-08;;;;;;;;
wikidata_id_168;Street Fighter II: The World Warrior; PlayStation;;1991-02-06;;;;;;;Everyone 10+;Street Fighter
wikidata_id_169;Buggy; PC;;1998-10-07;;;;;;;;
wikidata_id_175;Theme Park World; PC;;1999-11-20;;;;;;;;
wikidata_id_186;Blue Heat: The Case of the Cover Girl Murders; PC;;1997-09-12;;;;;;;Mature 17+;
wikidata_id_187;Langrisser IV; PlayStation;;1997-08-01;;;;;;;;
wikidata_id_190;64 Ōzumō; Nintendo 64;;1997-11-28;;;;;;;;
wikidata_id_195;Powerslide; PC;;1998-01-01;;;;;;;Everyone;
wikidata_id_207;Dragonseeds; PlayStation;;1998-08-06;;;;;;;;
wikidata_id_210;Santa Fe Mysteries: Sacred Ground; PC;;1997-01-01;;;;;;;;
wikidata_id_211;Strikers 1945 II; PlayStation 2;;1997-01-01;;;;;;;;
wikidata_id_217;Crash Bandicoot; PlayStation;;1996-09-09;;;;;;;Kids to Adults;Crash Bandicoot
wikidata_id_219;Lemmings; PlayStation 3;;1991-02-14;;;;;;;Kids to Adults;
wikidata_id_232;Lone Soldier; PlayStation;;1995-01-01;;;;;;;Teen;
wikidata_id_235;SimCity 2000; PC;;1993-01-01;;;;;;;Everyone;SimCity
wikidata_id_240;V-Rally 2; Dreamcast;;1999-10-31;;;;;;;Everyone 10+;Test Drive
wikidata_id_246;Bangai-O; Nintendo 64;;1999-09-03;;;;;;;Everyone;
wikidata_id_247;Blake Stone: Planet Strike; PC;;1994-10-28;;;;;;;;
wikidata_id_256;"10101: ""Will"" The Starship"; PlayStation;;1997-01-01;;;;;;;;
wikidata_id_262;SimCity 2000; Game Boy Advance;;1993-01-01;;;;;;;Everyone;SimCity
wikidata_id_269;You Don't Know Jack Sports; PC;;1997-01-01;;;;;;;Teen;
wikidata_id_283;The Super Spy; Wii;;1990-01-01;;;;;;;;
wikidata_id_285;Destruction Derby 2; PC;;1996-10-31;;;;;;;Everyone;Destruction Derby
wikidata_id_291;Q2565784; PC;;1997-01-01;;;;;;;;
wikidata_id_296;Small Soldiers: Squad Commander; PC;;1998-01-01;;;;;;;;
wikidata_id_297;Math Blaster Mystery: The Great Brain Robbery; PC;;1994-01-01;;;;;;;;
wikidata_id_318;Moon: Remix RPG Adventure; PC;;1997-10-16;;;;;;;Teen;
wikidata_id_321;UFO: Enemy Unknown; PlayStation;;1994-01-01;;;;;;;Everyone;X-COM
wikidata_id_330;Killer Instinct; Xbox One;;1994-06-28;;;;;;;Teen;Killer Instinct
wikidata_id_333;Crystal Caves; PC;;1991-10-23;;;;;;;;
wikidata_id_341;Cool Boarders; PlayStation;;1996-08-30;;;;;;;Kids to Adults;Cool Boarders
wikidata_id_357;Ucchannanchan no Honō no Challenger: Denryū Iraira Bō; Nintendo 64;;1997-12-19;;;;;;;;
wikidata_id_358;Bve trainsim; PC;;1996-01-01;;;;;;;;
wikidata_id_375;G-Nome; PC;;1997-02-28;;;;;;;;
wikidata_id_380;Claw; PC;;1997-09-30;;;;;;;Everyone;
wikidata_id_393;Enemy Engaged: Apache vs Havoc; PC;;1998-10-18;;;;;;;;
wikidata_id_416;Hydro Thunder; Dreamcast;;1999-09-09;;;;;;;;Hydro Thunder
wikidata_id_418;YU-NO: A girl who chants love at the bound of this world; PlayStation Vita;;1996-12-26;;;;;;;Mature 17+;
wikidata_id_420;Dark Sun: Shattered Lands; PC;;1993-01-01;;;;;;;;Dark Sun
wikidata_id_423;Attack from Mars; PlayStation 3;;1995-12-01;;;;;;;;
wikidata_id_426;Nights into Dreams...; PlayStation 2;;1996-07-05;;;;;;;Kids to Adults;NiGHTS
wikidata_id_428;Black Widow; PlayStation 2;;1982-01-01;;;;;;;;
wikidata_id_436;Noir: A Shadowy Thriller; PC;;1996-01-01;;;;;;;Teen;
wikidata_id_452;Capitalism; PC;;1995-10-31;;;;;;;;
wikidata_id_457;Terminal Velocity; PC;;1995-05-31;;;;;;;;
wikidata_id_462;Flashback; Dreamcast;;1992-01-01;;;;;;;Kids to Adults;
