id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series
wikidata_id_1;Spiderdroid;2600;;1987-01-01;;;;;;;;
wikidata_id_2;Mario Is Missing!;SNES;;1993-01-01;;;;;;;Kids to Adults;
wikidata_id_7;FIFA 97;G;;1996-10-31;;;;;;;Everyone;FIFA
wikidata_id_9;Tales of Phantasia;GBA;;1995-12-15;;;;;;;Everyone 10+;Tales
wikidata_id_10;CyberGladiators;PC;;1996-01-01;;;;;;;;
wikidata_id_12;NASCAR Racing 2;PC;;1996-01-01;;;;;;;;
wikidata_id_15;Devilish Mahjong Tower;GEN;;1994-01-01;;;;;;;;
wikidata_id_17;Battle Chess II: Chinese Chess;PC;;1990-01-01;;;;;;;;
wikidata_id_21;Xenophage: Alien Bloodsport;PC;;1995-12-01;;;;;;;;
wikidata_id_22;Tintin in Tibet;GEN;;1995-01-01;;;;;;;;
wikidata_id_23;'99 Kōshien;PS;;1999-01-01;;;;;;;;
wikidata_id_25;Battleground 9: Chickamauga;PC;;1999-01-01;;;;;;;;
wikidata_id_26;DigimonWorld: Digital Card Battle;PS;;1999-01-01;;;;;;;;
wikidata_id_27;Zico Soccer;SNES;;1994-03-04;;;;;;;;
wikidata_id_29;Jumping Flash!;PSP;;1995-04-28;;;;;;;;
wikidata_id_35;Tapper;2600;;1983-01-01;;;;;;;;
wikidata_id_38;Mankind;PC;;1998-12-01;;;;;;;;
wikidata_id_41;Disney's Aladdin;GEN;;1993-11-11;;;;;;;;
wikidata_id_42;BS The Legend of Zelda: Ancient Stone Tablets;SNES;;1997-01-01;;;;;;;;The Legend of Zelda
wikidata_id_45;House of Tarot;GG;;1991-03-08;;;;;;;;
wikidata_id_49;Tintin in Tibet;SNES;;1995-01-01;;;;;;;;
wikidata_id_51;Shiroi Ringu he;SNES;;1995-10-27;;;;;;;;
wikidata_id_54;Angelique Tenkū no Requiem;PS;;1998-01-01;;;;;;;;
wikidata_id_60;Disney's Aladdin;NES;;1993-11-11;;;;;;;;
wikidata_id_64;Yokai Dochuki;NES;;1988-02-05;;;;;;;;
