,id,name,platform,publishers,publicationDate,globallySoldUnits,genres,criticScore,userScore,developers,summary,rating,series
0,Windowgames_1,101 Dalmatians: Escape from DeVil Manor,PC,Disney Interactive,1999-01-01,,"Puzzle,Strategy,Adventure",,,DreamForge Intertainment,,,
1,Windowgames_2,102 Dalmatians: Puppies to the Rescue,PC,Eidos Interactive,2000-01-01,,"Platform,Adventure",,,Crystal Dynamics,,,
2,Windowgames_3,140,PC,Abstraction Games,2016-01-01,,"Music,Platform,Puzzle,Strategy,Indie",,,Double Fine Productions,,,
3,Windowgames_4,1001 Spikes,PC,Nicalis,2014-01-01,,"Platform,Adventure,Indie",,,8bits Fanatics,,,
4,Windowgames_5,The 11th Hour,PC,Virgin Interactive,1995-01-01,,"Point-and-click,Puzzle,Adventure",,,Trilobyte,,,
5,Windowgames_6,12Riven: The Psi-Climinal of Integral,PC,"KID,Cyberfront,SDR Project",2008-01-01,,"Adventure,Visual Novel",,,"KID,Cyberfront",,,
6,Windowgames_7,1914 Shells of Fury,PC,"Strategy First,h2f Informationssysteme",2007-01-01,,Simulator,,,Rondomedia,,,
7,Windowgames_8,2 on 2 Open Ice Challenge,PC,Midway Games,1997-01-01,,Sport,,,Midway Games,,,
8,Windowgames_9,2002 FIFA World Cup,PC,EA Sports,2002-01-01,,Sport,,,EA Canada,,,
9,Windowgames_10,2006 FIFA World Cup,PC,EA Sports,2006-01-01,,Sport,,,EA Canada,,,
10,Windowgames_11,25 To Life,PC,Eidos Interactive,2006-01-01,,Shooter,,,Avalanche Software,,,
11,Windowgames_12,3D Ultra Minigolf,PC,Sierra On-Line,2007-01-01,,Sport,,,Wanako Games,,,
12,Windowgames_13,3-D Ultra Pinball,PC,Sierra On-Line,1995-01-01,,Pinball,,,Dynamix,,,
13,Windowgames_14,3D Body Adventure,PC,Levande Böcker,1995-01-01,,Point-and-click,,,Knowledge Adventure,,,
14,Windowgames_15,428: Shibuya Scramble,PC,Spike Chunsoft,2018-01-01,,"Adventure,Visual Novel",,,Spike Chunsoft,,,
15,Windowgames_16,4x4 EVO 2,PC,Gathering of Developers,2001-01-01,,"Racing,Simulator",,,Terminal Reality,,,
16,Windowgames_17,4x4 Evolution,PC,Gathering of Developers,2000-01-01,,Racing,,,Terminal Reality,,,
17,Windowgames_18,5,PC,Visual Arts,2008-01-01,,"Shooter,Adventure",,,Ram,,,
18,Windowgames_19,6180 the moon,PC,Turtle Cream,2014-01-01,,"Music,Platform,Puzzle,Adventure,Indie,Arcade",,,PokPoong GamesTurtle Cream,,,
19,Windowgames_20,7 Sins,PC,Digital Jesters,2005-01-01,,"Point-and-click,Puzzle,Adventure",,,Monte Cristo,,,
20,Windowgames_21,7 Wonders of the Ancient World,PC,MumboJumbo,2007-01-01,,"Puzzle,Strategy",,,Hot Lava Games,,,
21,Windowgames_22,The 7th Guest,PC,Virgin Games,1993-01-01,,"Point-and-click,Adventure",,,Trilobyte,,,
22,Windowgames_23,80 Days,PC,Frogwares,2005-01-01,,"Platform,Puzzle,Adventure",,,Frogwares,,,
23,Windowgames_24,9: The Last Resort,PC,GT Interactive,1996-01-01,,"Point-and-click,Adventure",,,Tribeca Interactive,,,
24,Windowgames_25,A Game of Thrones: Genesis,PC,Focus Home Interactive,2011-01-01,,"Real Time Strategy (RTS),Strategy",,,Cyanide,,,
25,Windowgames_26,A New Beginning,PC,Deep Silver,2010-01-01,,Visual Novel,,,Daedalic Entertainment,,,
26,Windowgames_27,A Virus Named TOM,PC,Misfits Attic,2012-01-01,,"Puzzle,Strategy,Indie,Arcade",,,Misfits Attic,,,
27,Windowgames_28,A2 Racer,PC,Davilex Games,1997-01-01,,Racing,,,Davilex Games,,,
28,Windowgames_29,ABC Sports Indy Racing,PC,ABC Interactive,1997-01-01,,Racing,,,Shot Sports Software,,,
29,Windowgames_30,Abomination: The Nemesis Project,PC,Eidos Interactive,1999-01-01,,Strategy,,,Hothouse Creations,,,
30,Windowgames_31,Ace Online,PC,Yedang,2006-01-01,,"Role-playing (RPG),Adventure",,,MasangSoft,,,
