A,B,match
all_games7701:FIFA Manager 10,Windowgames_1275:FIFA Manager 10,1:0
all_games7705:Taito Legends,Windowgames_3322:Taito Legends,1:0
all_games7706:ToeJam & Earl: Back in the Groove!,"Windowgames_3403	ToeJam & Earl: Back in the Groove",0:1
all_games7719:Manhunt,Windowgames_2034:Manhunt,0:2
all_games7723:Star Wars Galactic Battlegrounds,"Windowgames_3198	Star Wars:Galactic Battlegrounds",1:0
all_games7724:Earth 2150: The Moon Project,Windowgames_1064:Earth 2150:The Moon Project,0:2
all_games7732:Savage 2: A Tortured Soul,Windowgames_2863:Savage 2: A Tortured Soul,1:0
all_games10648:Silent Hill 2,Windowgames_2982:Silent Hill 2,0:2
all_games7735:Call of Duty 4:Modern Warfare,Windowgames_471:Call of Duty 4: Modern Warfare,0:1
all_games7738:Mafia II,Windowgames_2011:Mafia II,0:1
all_games7750:Shadowbane,Windowgames_2932:Shadowbane,1:0
all_games7752:Immortal Cities:Children of the Nile,Windowgames_1701:Immortal Cities: Children of the Nile,1:0
all_games7760:BattleForge,Windowgames_301:BattleForge,1:0
all_games7761:Madden NFL 08,Windowgames_2005:Madden NFL 08,0:1
all_games7776:Frontlines:Fuel of War,Windowgames_1369:Frontlines: Fuel of War,1:0
all_games7787:I-Ninja,Windowgames_1685:I-Ninja,0:1
all_game:7789:Monster Truck Madness,Windowgames_2172:Monster Truck Madness,0:1
all_game7791:Star Wars Jedi Knight II: Jedi Outcast,Windowgames_3188:Star Wars Jedi Knight II: Jedi Outcast,0:1
all_game7795:The Typing of the Dead,Windowgames_3527:The Typing of the Dead,0:2
all_game7822:GRID Autosport,Windowgames_1502:Grid Autosport,0:1
all_game7826:Scarface: The World IS Yours,Windowgames_2868:Scarface: The World Is Yours,0:1
all_game7827:Ghost of a Tale,Windowgames_1444:Ghost of a Tale,0:2
all_game7975:Drakensang: The Dark Eye,Windowgames_1017:Drakensang: The Dark Eye,0:2
all_games10664:Romance of the Three Kingdoms XI,Windowgames_2814:Romance of the Three Kingdoms XI,0:2
all_game8081:Shadowgrounds,Windowgames_2934:Shadowgrounds,0:2
all_games10655:Battle Isle: The Andosia War,Windowgames_283:Battle Isle: The Andosia War,1:0
