,,,
,,,
A-B,,Match,Type
all_games11126,Windowgames_2384,1,0
all_games11127,Windowgames_2136,1,0
all_games11166,Windowgames_3794,1,2
all_games11189,Windowgames_1601,1,0
all_games11196,Windowgames_1914,1,0
all_games11226,Windowgames_3729,1,0
all_games12093,Windowgames_263,1,0
all_games12109,Windowgames_2317,0,2
all_games12125,Windowgames_3134,1,2
all_games12125,Windowgames_3135,1,2
all_games12539,Windowgames_2936,1,0
all_games12561,Windowgames_3536,1,0
all_games13092,Windowgames_1870,1,2
all_games13093,Windowgames_788,0,2
all_games13139,Windowgames_3159,1,0
all_games13144,Windowgames_794,1,2
all_games13164,Windowgames_2358,1,0
all_games13580,Windowgames_2781,0,1
all_games13633,Windowgames_2401,0,1
all_games13841,Windowgames_2424,0,1
all_games12130,Windowgames_2502,0,1
all_games12450,Windowgames_2576,0,1
all_games12330,Windowgames_2826,0,1
all_games14693,Windowgames_2668,0,1
all_games14913,Windowgames_2525,0,1
all_games12523,Windowgames_2766,0,1
all_games13186,Windowgames_2634,0,1
all_games13157,Windowgames_2513,0,1
all_games14382,Windowgames_2882,0,1
A and D,,,
all_games13443,PS4_id_4958,1,0
all_games13449,PS4_id_1235,1,0
all_games13463,PS4_id_6029,1,0
all_games13470,PS4_id_9120,0,2
all_games13499,PS4_id_5087,1,0
all_games13525,PS4_id_4396,1,0
all_games13531,PS4_id_8193,1,0
all_games13552,PS4_id_5742,1,0
all_games13570,PS4_id_1607,1,0
all_games13573,PS4_id_957,1,0
all_games13573,PS4_id_958,0,2
all_games13598,PS4_id_6184,1,0
all_games13611,PS4_id_4310,1,0
all_games13613,PS4_id_6038,1,0
all_games13613,PS4_id_6039,1,2
all_games13620,PS4_id_6757,1,0
all_games13639,PS4_id_6890,1,0
all_games13643,PS4_id_4738,1,0
all_games13643,PS4_id_4739,1,2
all_games13654,PS4_id_7430,0,2
all_games13683,PS4_id_4399,1,0
all_games13694,PS4_id_5732,1,0
all_games13694,PS4_id_5733,0,2
all_games13702,PS4_id_8369,1,0
all_games13702,PS4_id_8370,0,2
all_games13702,PS4_id_8371,0,2
all_games13926,PS4_id_7481,0,1
all_games14434,PS4_id_6580,0,1
all_games14743,PS4_id_6392,0,1
all_games13970,PS4_id_7740,0,1
all_games12971,PS4_id_6609,0,1
all_games12923,PS4_id_7503,0,1
all_games12160,PS4_id_6424,0,1
all_games14183,PS4_id_7246,0,1
all_games13263,PS4_id_7334,0,1
all_games13547,PS4_id_7570,0,1
all_games14901,PS4_id_6456,0,1
all_games11502,PS4_id_7237,0,1
C-B,,,
Video_games_sales11688,Windowgames_1567,1,0
Video_games_sales11709,Windowgames_2987,1,0
Video_games_sales11776,Windowgames_2308,1,0
Video_games_sales11781,Windowgames_2314,1,0
Video_games_sales11861,Windowgames_2302,1,0
Video_games_sales11861,Windowgames_2301,0,2
Video_games_sales11876,Windowgames_3454,1,0
Video_games_sales12015,Windowgames_826,1,0
Video_games_sales12121,Windowgames_1322,1,0
