id;wikidata id;Match;Corner Case
Video_games_sales6519;wikidata_id_74328;FALSE;TRUE
Video_games_sales6519;wikidata_id_74393;FALSE;TRUE
Video_games_sales6519;wikidata_id_74459;TRUE;FALSE
Video_games_sales15207;wikidata_id_32772;TRUE;FALSE
Video_games_sales3802;wikidata_id_47739;TRUE;FALSE
Video_games_sales11725;wikidata_id_31243;TRUE;FALSE
Video_games_sales1140;wikidata_id_66276;TRUE;FALSE
Video_games_sales5406;wikidata_id_46446;TRUE;FALSE
Video_games_sales8144;wikidata_id_67118;FALSE;TRUE
Video_games_sales8144;wikidata_id_68693;TRUE;FALSE
Video_games_sales103;wikidata_id_52050;TRUE;FALSE
Video_games_sales103;wikidata_id_73277;FALSE;TRUE
Video_games_sales103;wikidata_id_73285;FALSE;TRUE
Video_games_sales103;wikidata_id_73574;FALSE;TRUE
Video_games_sales2699;wikidata_id_5176;TRUE;FALSE
Video_games_sales2699;wikidata_id_551;FALSE;TRUE
Video_games_sales629;wikidata_id_36230;TRUE;FALSE
Video_games_sales11094;wikidata_id_21598;FALSE;TRUE
Video_games_sales16065;wikidata_id_56275;TRUE;FALSE
Video_games_sales4866;wikidata_id_74832;TRUE;FALSE
Video_games_sales4866;wikidata_id_89171;FALSE;TRUE
Video_games_sales196;wikidata_id_44583;FALSE;TRUE
Video_games_sales196;wikidata_id_37337;TRUE;FALSE
Video_games_sales4509;wikidata_id_35521;FALSE;TRUE
Video_games_sales12313;wikidata_id_47043;FALSE;TRUE
Video_games_sales12644;wikidata_id_67854;TRUE;FALSE
Video_games_sales3369;wikidata_id_11164;FALSE;TRUE
Video_games_sales13438;wikidata_id_57158;FALSE;TRUE
Video_games_sales13438;wikidata_id_63542;TRUE;TRUE
Video_games_sales5031;wikidata_id_65731;TRUE;FALSE
Video_games_sales376;wikidata_id_36616;TRUE;FALSE
Video_games_sales376;wikidata_id_27752;FALSE;TRUE
Video_games_sales8279;wikidata_id_28993;TRUE;FALSE
Video_games_sales8279;wikidata_id_44565;FALSE;TRUE
Video_games_sales14299;wikidata_id_29372;TRUE;FALSE
Video_games_sales14299;wikidata_id_31501;FALSE;TRUE
Video_games_sales8939;wikidata_id_51576;FALSE;TRUE
Video_games_sales501;wikidata_id_30395;TRUE;TRUE
Video_games_sales501;wikidata_id_33926;TRUE;TRUE
Video_games_sales501;wikidata_id_39306;TRUE;TRUE
Video_games_sales1308;wikidata_id_71690;TRUE;FALSE
Video_games_sales8849;wikidata_id_62863;FALSE;TRUE
Video_games_sales8849;wikidata_id_53099;TRUE;FALSE
Video_games_sales2640;wikidata_id_44867;TRUE;FALSE
Video_games_sales2640;wikidata_id_42167;FALSE;TRUE
Video_games_sales4135;wikidata_id_5825;FALSE;TRUE
Video_games_sales4135;wikidata_id_26269;TRUE;FALSE
Video_games_sales4317;wikidata_id_37488;TRUE;TRUE
