id,name,platform,publishers,publicationDate,globallySoldUnits,genres,criticScore,userScore,developers,summary,rating,series,id,name,platform,publishers,publicationDate,globallySoldUnits,genres,criticScore,userScore,developers,summary,rating,series
all_games9278,Digimon Story Cyber Sleuth: Hacker's Memory, PlayStation 4,,"January 19, 2018",,,73.0,7.4,,"Hack your way to the truth! After being accused of a crime he didn't commit, Keisuke Amazawa has no choice but to dive into the digital world and investigate to prove his innocence. Even if that means joining a group of hackers and help them to solve the troubles threatening this mysterious universe. Between real and digital, here lies the truth! FEATURES: * Cyber Punk Atmosphere: Dive into a deeper and darker adventure, at crossroads between real and digital. * Deep and Addictive Gameplay: Experience the perfect mix between adventure, raining and battle with over 320 Digimon to discover. Enjoy a wider range of battle strategies in a classic turn based gameplay enhanced by Digimon's skills, compatibilities and combos. * The Untold Story: Discover the mysterious backstory to the events that happened in 'Digimon Story: Cyber Sleuth'.",,,,,,,,,,,,,,,
all_games7538,Bomber Crew, Switch,,"July 10, 2018",,,75.0,7.9,,"Bomber Crew is a World-war 2 strategic bombing sim, where completing the objective is just as important as keeping your crew alive, as death is permanent. Take to the skies in this immersive flight simulation where each mission is a high-risk expedition. Manage everything from fuel, ammo, hydraulics and more in your very own physics based Bomber, which can be customized with an array of liveries and paint jobs. Danger comes from every angle when the wheels are up; Enemy fighters, flak guns, poor weather and an array of other perilous dangers await, so ensure your Crew are prepared for each mission correctly, and come back victorious.",,,,,,,,,,,,,,,
all_games7602,Field of Glory II: Medieval, PC,,"February 4, 2021",,,75.0,7.3,,Field of Glory II Medieval is a turn-based tactical game set in the High Middle Ages from 1040 AD to 1270 AD. Developed by legendary designer Richard Bodley Scott it brings the best from the tabletop world into the best digital framework.,,,,,,,,,,,,,,,
all_games10894,Clockwork Tales: Of Glass and Ink, Xbox One,,"January 22, 2016",,,70.0,0.0,,"Delve into this exciting detective adventure game with a steampunk twist! Strange earthquakes are causing the worlds cities to crumble to ruin. The brilliant Dr. Ambrose Ink hopes to expose the underlying cause of this phenomenon, but he needs the assistance of his longtime friend, Agent Evangeline Glass. The heroine will have to storm the castle of the General Engineer of Gottland to find out the truth and stop the cataclysm.",,,,,,,,,,,,,,,
all_games7861,Beyond Atlantis II, PC,,"October 24, 2001",,,75.0,6.6,,"A young archeologist searches for the existence of a metropolis built, according to myth and legend, by the ancient Egyptians...From the palaces of the Thousand and One Nights to the Sahara Desert, from the Egyptian Book of the Dead to the icy plains of the Paleolithic, immerse yourself... [DreamCatcher Interactive] - Also known as ""Atlantis 3: The New World""",,,,,,,,,,,,,,,
all_games8040,Back to the Future: The Game - Episode II: Get Tannen!, PC,,"February 17, 2011",,,74.0,7.2,,"In Episode 2, Marty and Doc must prevent his girlfriend from being ereased in the future.",,,,,,,,,,,,,,,
all_games9467,Red Faction: Guerrilla Re-Mars-tered, Switch,,"July 2, 2019",,,72.0,7.0,,"Set 50 years after the climactic events of the original Red Faction, Red Faction: Guerrilla allows players to take the role of an insurgent fighter with the newly re-established Red Faction movement as they battle for liberation from the oppressive Earth Defense Force. Red Faction: Guerrilla still defines the limits of destruction-based game-play with a huge open-world, fast-paced guerrilla-style combat, and true physics-based destruction. Features: * Open World Guerrilla Warfare - You decide who, when, where and how to battle. Utilize guerrilla tactics, improvised weaponry, and modified vehicles to lead insurgent attacks on EDF targets. Launch attacks based on your own gameplay style, take on missions in any order you choose, or engage in destructive activities to weaken the EDF's grip on Mars. * Strategic Destruction - Use destruction to your tactical advantage, setting ambushes or chain reaction explosions to attack enemy strongholds and permanently modify the game environment. Leverage fully-dynamic physics-based destruction to improvise on the fly: blow holes in a wall or floor to set an ambush or escape, take out a staircase to stop your pursuers, or drive vehicles through blown out walls. * Evolving & Emergent Gameplay - Carve your path through an ever-changing landscape as you improvise your combat tactics - mixing gameplay styles, vehicles, weapons and explosives to defeat the EDF. * Epic Sci-Fi Setting - Explore the huge, unforgiving Martian landscape, from the desolate mining outpost of Parker to the gleaming EDF capital city of Eos; then tear through the fully destructible open-world environments swarming with EDF forces, Red Faction resistance fighters, and the downtrodden settlers caught in the cross-fire. * Multiplayer Combat - There is no place to hide when you put your guerrilla warfare skills to the test in a variety of highly destructive multiplayer combat modes. Re-Mars-tered Features: > Fully reworked graphics Heavily reworked textures and graphic features adding for example specular maps. > Improved shadow rendering > Improved Lighting > Shader & Postprocessing rework > Native 4k support for the finest up to date mars destruction experience ever",,,,,,,,,,,,,,,
all_games11259,Clandestine, PC,,"November 5, 2015",,,69.0,7.4,,"Clandestine is a 2-player or singleplayer stealth/hacking game set in 1996. Asymmetrical co-op allows one player to take the role of the spy while a friend provides overwatch and assistance as the hacker, and unravel a post-Cold War espionage conspiracy.",,,,,,,,,,,,,,,
all_games10606,Castlevania: Curse of Darkness, PlayStation 2,,"November 1, 2005",,,70.0,8.2,,"The legendary Castlevania series returns with a new story and a new hero. Hector, one of two Devil Forgemasters who once trained under Dracula, has fled Vallachia disillusioned with the ideals of his mentor. Now, three years after Dracula was defeated in battle at the hands of the Belmonts, Isaac – a former friend and fellow Devil Forgemaster suddenly reappears and orchestrates the execution of Hector's beloved. Fueled by revenge, Hector returns to Vallachia to confront Isaac. Use Devil Forgery skills to develop & enhance ""Innocent Devils"" allies. RPG elements featuring character growth based on experience points. A deep storyline that unfolds against a backdrop of beautifully environments. Increased number of unlockable features enhances replayability. [Konami]",,,,,,,,,,,,,,,
all_games10288,Goblin Commander: Unleash the Horde, GameCube,,"December 16, 2003",,,71.0,7.8,,"Goblin Commander: Unleash the Horde calls upon your skill and courage to destroy the enemy, pillage the enclaves, and scorch the earth. With a horde of specialized goblin warriors at your command, you can wage war in single-player and multiplayer modes. Design a custom army from over 25 different goblins with melee, ranged, elemental, acid, and magical combat specialties. You can even take direct control of giant titans, powerful turrets, and battle-ready vehicles to cause reckless mayhem across the lands.",,,,,,,,,,,,,,,
all_games8550,Project Warlock, PlayStation 4,,"June 9, 2020",,,74.0,4.9,,"One man and his guns. Become a mysterious Warlock who embarks onto a dangerous mission to eradicate all evil. Put your finger on the trigger and travel through time and space to wreak havoc like in the golden days of fast paced, adrenaline-pumping first person shooters, hooking you for hours of super fun carnage. Let’s rock and roll! Explore 60 vast levels in five settings, from frozen Antarctic base to the sands of Egypt to the medieval castles’ courts and graveyards. Find keys to unlock passages, reveal secret caches with ammo and gold, use lifts and hidden buttons to access new areas. Finally descend to hell to face the ultimate challenge and emerge victorious. Combat tons of enemies from flying demons to five-storeys robots, splashing walls and floors with their blood and chunks. Dodge bullets and projectiles, figure out strategies and weapons that work best against each of the nasty villains. Learn their moves and stay one step ahead to survive through the levels. Face megabosses in vast final arenas to complete each world. Expand your arsenal with new weapons found along your way. From powerful blades to massive guns, collect and develop your favourite gear and master the craft of carnage. Reach into vast arsenal of 38 types of weapons and learn their secret tricks to deliver maximum damage, fast! Grab ammo and spit out series of bullets, walls of flames, and bursts of magic shots to bring down enemies foolish enough to stand in your way. Develop your hero the way you like, by assigning upgrade points and perks to the favourite skills between each level. Develop and upgrade spells and weapons to create your unique character through the game, and use their powers to master the game in higher difficulty modes.",,,,,,,,,,,,,,,
all_games10103,Europa Universalis III: Divine Wind, PC,,"December 14, 2010",,,71.0,8.7,,"The fourth expansion to the classic historical strategy epic, Europa Universalis III Divine Wind is set in the Far East and will enhance every aspect of the original game to create an even deeper and more rewarding experience. Requiring Europa Universalis III Complete as well as the Heir to the Throne expansion to play, Divine Wind introduces a new graphical style, a more detailed map, and a wealth of new oriental provinces to control.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,Windowgames_1944,Logical Journey of the Zoombinis,PC,Broderbund,1996-01-01,,Puzzle,,,Broderbund,,,
,,,,,,,,,,,,,Windowgames_1842,Knights of the Temple: Infernal Crusade,PC,TDK Mediactive,2004-01-01,,"""Hack and slash/Beat em up"",Adventure",,,Starbreeze Studios,,,
,,,,,,,,,,,,,Windowgames_2193,MotoGP 08,PC,Milestone srl,2008-01-01,,"Racing,Simulator,Sport",,,Milestone srl,,,
,,,,,,,,,,,,,Windowgames_2249,NASCAR 2000,PC,EA Sports,2000-01-01,,"Racing,Simulator",,,"EA Sports,Stormfront Studios",,,
,,,,,,,,,,,,,Windowgames_1867,Last Bronx,PC,Sega,1996-01-01,,"Fighting,Arcade",,,Sega-AM3,,,
,,,,,,,,,,,,,Windowgames_2229,Mystery P.I.: The Lottery Ticket,PC,PopCap Games,2007-01-01,,"Puzzle,Adventure",,,SpinTop Games,,,
,,,,,,,,,,,,,Windowgames_1718,The Incredible Hulk,PC,Sega,2008-01-01,,"""Hack and slash/Beat em up""",,,Edge of Reality,,,
,,,,,,,,,,,,,Windowgames_1957,Lord of the Rings: War of the Ring,PC,Sierra Entertainment,2003-01-01,,"Real Time Strategy (RTS),Role-playing (RPG),Strategy,Tactical",,,Liquid Entertainment,,,
,,,,,,,,,,,,,Windowgames_2099,Meridian 59,PC,"3DO,Near Death Studios",1996-01-01,,"Role-playing (RPG),Indie",,,"Archetype Interactive,Near Death Studios",,,
,,,,,,,,,,,,,Windowgames_2262,NASCAR Thunder 2004,PC,EA Sports,2003-01-01,,"Racing,Simulator,Sport",,,EA Tiburon,,,
,,,,,,,,,,,,,Windowgames_1883,Left Behind: Rise of the Antichrist,PC,Left Behind Games,2010-01-01,,"Real Time Strategy (RTS),Strategy",,,Left Behind Games,,,
,,,,,,,,,,,,,Windowgames_1716,Incoming,PC,"Interplay Entertainment,Imagineer",1998-01-01,,"Simulator,Strategy,Indie",,,Rage Software,,,
