id,name,platform,publishers,publicationDate,globallySoldUnits,genres,criticScore,userScore,developers,summary,rating,series,id,name,platform,publishers,publicationDate,globallySoldUnits,genres,criticScore,userScore,developers,summary,rating,series
all_games7863,Need for Speed: Hot Pursuit Remastered, PlayStation 4,,"November 6, 2020",,,75.0,4.5,,"Feel the thrill of the chase and the rush of escape in Need for Speed™ Hot Pursuit Remastered on Nintendo Switch™. Unleash a savage sense of speed both as an outlaw and a cop in the world's hottest high-performance cars. Outsmart the heat or take down lawbreakers with the tactical weaponry at your disposal in a heart-pumping, socially competitive racing experience. Updated with enhanced visuals, cross-platform multiplayer – including the asynchronous competition powered by Autolog – plus all additional DLC content, this is the ultimate edition of Criterion Games’ critically acclaimed Need for Speed debut. It’s time to reignite the pursuit. CROSS-PLATFORM MULTIPLAYER AND AUTOLOG – Bolt down the winding Seacrest County roads headfirst in racing that is socially competitive at its core. The groundbreaking Autolog connects you and your friends in head-to-head pursuits and races and instinctively delivers challenges based on your friends’ activities. This highly dynamic system is fueled by friendly competition and is now supported with cross-platform sync and new multiplayer gameplay so that you can race each other no matter what platform you are on. ALL DLC INCLUDED, PLUS MORE UPDATES – Get all the additional DLC content delivered at launch including an extra six hours of gameplay and more than 30 challenges. Brand new achievements, wraps, car colors, reduced hard stops, an updated photo mode and gallery, and multiple quality of life updates create an even more well-rounded gameplay experience this time around. EXOTIC CARS WITH WEAPONS – Drive the world’s most desirable supercars on both sides of the law. Bust suspects in supercharged cop interceptors enhanced with tactical weaponry, or level the playing field with counterattacks and defensive maneuvers as an elite racer. Strategize to gain an edge over the competition, no matter what side you’re on! CHASE AND ESCAPE – A deep and fully-defined single-player career delivers the action of both cops and racers, with a seamlessly linked multiplayer experience across all race modes. Take on friends or play through the career solo to earn Bounty and unlock new cars, weapons, and equipment. ENHANCED VISUALS – Need for Speed: Hot Pursuit Remastered delivers a timeless racing experience updated for today’s generation of hardware with enhanced visuals.",,,,,,,,,,,,,,,
all_games8234,Expeditions: Viking, PC,,"April 27, 2017",,,74.0,8.0,,"Circa 790 AD. A small band of Norse warriors lands on the shores of England. History may have forgotten their names, but their actions live on. As the chieftain of your clan, let ambition guide your choices in the party-based RPG Expeditions: Viking. How will history remember you?",,,,,,,,,,,,,,,
all_games10244,Tom Clancy's Ghost Recon: Future Soldier, PC,,"June 26, 2012",,,71.0,5.2,,"Developed by the team behind Tom Clancy's Ghost Recon Advanced Warfighter and Tom Clancy's Ghost Recon Advanced Warfighter 2, the game features cutting-edge technology, prototype high-tech weaponry, and state-of-the-art single-player and multiplayer modes. Tom Clancy's Ghost Recon: Future Soldier goes beyond the core Ghost Recon franchise and deliver a fresh gameplay experience.",,,,,,,,,,,,,,,
all_games10417,Zombi, PlayStation 4,,"August 18, 2015",,,71.0,5.9,,"ZombiU thrusts players in the middle of London circa 2012, where an outbreak has infected the population, destroying their humanity and turning them into mindless monsters preying on the flesh of the few remaining survivors. This fear-fueled first-person shooter invites takes all the horror, chaos and tension found in the best of the horror genre and adds original interactive elements, including a unique death mechanic that puts players in the body of a different survivor each time they die, allowing them to track and take down their old, infected characters, recover their equipment and see if they can stay alive just a little bit longer this time.",,,,,,,,,,,,,,,
all_games10002,Gyromancer, PC,,"November 18, 2009",,,71.0,6.6,,"Gyromanceris a puzzle-roleplaying game (RPG) featuring a unique battle system based on Bejeweled Twist combined with elements of Square Enix role-playing games. Battle system: Gyromancer has a new battle system based on Bejeweled Twist. Command unique beasts to battle your foes. Hidden treasures: Search the map for items, coins, and new beasts to fight at your side. Gain levels in battle and acquire powerful new beasts. Deadly mage: Assume the role of Rivel, a deadly mage, as he rids Aldemona Wood of a brooding darkness. [Square Enix]",,,,,,,,,,,,,,,
all_games9416,The Last Federation, PC,,"April 18, 2014",,,72.0,6.9,,"From the creators of AI War: Fleet Command comes an all-new grand strategy title with turn-based tactical combat, set in a deep simulation of an entire solar system and its billions of inhabitants. You are the last of a murdered race, determined to unify or destroy the 8 others.",,,,,,,,,,,,,,,
all_games9940,Overlord II, PlayStation 3,,"June 23, 2009",,,72.0,7.7,,"Overlord II is the sequel to the warped fantasy action adventure that had players being delightfully despotic. In Overlord II, a new Overlord and a more powerful army of Minions take on an entire empire in a truly epic adventure, inspired by the rise of the Roman Empire. As the Glorious Empire conquers kingdoms and destroys any sign of magic it finds, it's time to go Minion Maximus and send in the horde. The Minions return smarter, deadlier (and funnier) and are ready to fight in large scale battles that will see their wild pack mentality squaring up to the organised legions of the Glorious Empire. As ever, they'll do anything and everything the Overlord commands of them, especially now that they can run ravage and wreck buildings and scenery. They've also learned how to ride: In Overlord II Minions mount up and ride wolves and other magical creatures around the landscape and take them into battle, making our band of merry fighters faster and fiercer than ever before. [Codemasters]",,,,,,,,,,,,,,,
all_games10425,Legends of Eisenwald, PC,,"July 2, 2015",,,71.0,7.7,,"Do you miss old school RPG/strategy games? If so, we invite you to Eisenwald where we carry on the proud tradition of games like Kings Bounty or Disciples 2. In Legends of Eisenwald you will encounter a unique turn-based combat system and story driven campaign set in a low fantasy medieval world. Gather your troops and embark on a dangerous journey to carve your name into the legends of the grim lands of Eisenwald where all the supernatural superstitions of medieval times are found to be true.",,,,,,,,,,,,,,,
all_games9352,No More Heroes: Heroes Paradise, PlayStation 3,,"August 16, 2011",,,72.0,7.3,,"From Marvellous comes this HD update of the Wii's No More Heroes release, a port that'll feature at least one additional game mode.",,,,,,,,,,,,,,,
all_games8893,Funky Lab Rat, PlayStation 3,,"November 30, 2010",,,73.0,8.1,,"The action is set in a lab, where players become Diego, a very cool, super-powered funky lab rat who decides it's time to break free! Player's mission is to make it through the final lab gate by crossing over pits and overcoming obstacles! All the items must be carefully placed and synchronized for the escape to work. If your synchronization doesn't work, you can try again by rewinding time so you don't have to re-start the level every time.",,,,,,,,,,,,,,,
all_games8703,Control: AWE, PC,,"August 27, 2020",,,73.0,6.4,,"Explore the sealed Investigations Sector, uncover the mystery of Bright Falls, and face a new terror with a new Service Weapon form. AWE is short for Altered World Event, which occur when paranatural forces breach our world. Sometimes, AWEs are minor and go unnoticed. However, sometimes AWEs cause catastrophic events. Historically, the Investigations Sector was where the Federal Bureau of Control's dangerous work of searching for AWE cases was coordinated from, and where evidence was stored until things went horribly, horribly wrong, and the sector was sealed off years ago. Director Jesse Faden has to enter the sector to chase down a mysterious being that's been stalking this long-abandoned area for years. In order to reclaim the Investigations Sector from the clutches of this creature of darkness, Jesse will need to explore the numerous Altered World Events investigated here, including one from the town of Bright Falls.",,,,,,,,,,,,,,,
all_games9888,Rail Simulator, PC,,"January 16, 2008",,,72.0,6.9,,"Rail Simulator is the new train simulation game from Kuju Entertainment. Published by Electronic Arts, the world's largest publisher of computer and video games, Rail Simulator brings the railways to life for everyone from the casual train fan to the dedicated enthusiast. [Kuju Entertainment]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,PS4_id_5359,Dexed (EU),PS4,Ninja Theory,2017-02-01,,"On Rails,Shoot 'em up",,,Ninja Theory,,,
,,,,,,,,,,,,,PS4_id_4205,Shenmue II,PS4,SEGA,2018-08-21,,"Open World,Action-Adventure",,,d3t,,,
