id,name,platform,publishers,publicationDate,globallySoldUnits,genres,criticScore,userScore,developers,summary,rating,series,id,name,platform,publishers,publicationDate,globallySoldUnits,genres,criticScore,userScore,developers,summary,rating,series
Windowgames_3406,Tom Clancys EndWar,PC,Ubisoft,2008-01-01,,"Role-playing (RPG),Strategy",,,Ubisoft Shanghai,,,,,,,,,,,,,,,,
Windowgames_3694,Wizardry 8,PC,Sir-Tech,2001-01-01,,"Role-playing (RPG),Adventure",,,Sir-Tech,,,,,,,,,,,,,,,,
Windowgames_3483,Treasure Cove!,PC,The Learning Company,1997-01-01,,Adventure,,,The Learning Company,,,,,,,,,,,,,,,,
Windowgames_3443,Tony La Russa Baseball 4,PC,Maxis,1997-01-01,,"Simulator,Sport",,,Stormfront Studios,,,,,,,,,,,,,,,,
Windowgames_3695,Wizardry VII: Crusaders of the Dark Savant,PC,Sir-tech,2013-01-01,,"Role-playing (RPG),Adventure",,,Sir-tech,,,,,,,,,,,,,,,,
Windowgames_3554,Universe at War: Earth Assault,PC,Sega,2007-01-01,,"Real Time Strategy (RTS),Strategy",,,Petroglyph Games,,,,,,,,,,,,,,,,
Windowgames_3522,Twisted Metal,PC,Sony Music Entertainment Japan,1996-01-01,,"Shooter,Racing",,,"Sony Interactive Studios America,SingleTrac",,,,,,,,,,,,,,,,
Windowgames_3379,Thrillville: Off the Rails,PC,LucasArts,2007-01-01,,"Racing,Simulator,Strategy,Adventure",,,Frontier Developments,,,,,,,,,,,,,,,,
Windowgames_3348,Terminator Salvation,PC,Equity Games,2009-01-01,,"Shooter,Arcade",,,GRIN,,,,,,,,,,,,,,,,
Windowgames_3306,Switchball,PC,Sierra On-Line,2007-01-01,,"Simulator,Indie",,,Atomic Elbow,,,,,,,,,,,,,,,,
Windowgames_3505,Tropico 3,PC,Kalypso Media,2009-01-01,,"Simulator,Strategy",,,Haemimont Games,,,,,,,,,,,,,,,,
Windowgames_3259,Strike Fighters: Project 1,PC,Strategy First,2002-01-01,,Simulator,,,Third Wire Productions,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Video_games_sales15823,Prison Architect,XOne,Introversion Software,2016-01-01,0.02,Action,74.0,6.7,,,,
,,,,,,,,,,,,,Video_games_sales14890,Dakar 2: The Worlds Ultimate Rally,GC,Acclaim Entertainment,2003-01-01,0.03,Racing,,,,,,
,,,,,,,,,,,,,Video_games_sales17035,Shinkyouku Soukai Polyphonica: 3&4 Hanashi Kanketsuhen,PS2,Prototype,2007-01-01,0.01,Adventure,,,,,,
,,,,,,,,,,,,,Video_games_sales15861,Antiphona no Seikahime: Tenshi no Gakufu Op.A,PSP,Nippon Ichi Software,2009-01-01,0.02,Role-Playing,,,,,,
,,,,,,,,,,,,,Video_games_sales16115,Rayman 10th Anniversary,GBA,Ubisoft,2005-01-01,0.02,Platform,,,,,,
,,,,,,,,,,,,,Video_games_sales16492,Death Connection Portable,PSP,Idea Factory,2011-01-01,0.01,Adventure,,,,,,
,,,,,,,,,,,,,Video_games_sales16329,Dr. Slump & Arale-Chan,DS,Namco Bandai Games,2008-01-01,0.01,Adventure,,,,,,
,,,,,,,,,,,,,Video_games_sales14360,Sengoku Basara: Sanada Yukimura-Den,PS3,Capcom,2016-01-01,0.03,Action,,,,,,
,,,,,,,,,,,,,Video_games_sales14611,Kaidan Restaurant: Zoku! Shin Menu 100-Sen,DS,Namco Bandai Games,2011-01-01,0.03,Misc,,,,,,
,,,,,,,,,,,,,Video_games_sales14221,Harley-Davidson: Road Trip,Wii,Destineer,2010-01-01,0.04,Racing,,,,,E,
,,,,,,,,,,,,,Video_games_sales13967,Hercs Adventures,PS,Virgin Interactive,1997-01-01,0.04,Action,,,,,,
,,,,,,,,,,,,,Video_games_sales16780,Tsukigime Rankos Longest Day,PS3,Namco Bandai Games,2014-01-01,0.01,Action,,,,,,
