id,name,platform,publishers,publicationDate,globallySoldUnits,genres,criticScore,userScore,developers,summary,rating,series,id,name,platform,publishers,publicationDate,globallySoldUnits,genres,criticScore,userScore,developers,summary,rating,series
Video_games_sales13037,Medal of Honor: Airborne,PC,Electronic Arts,2007-01-01,0.05,Shooter,78.0,7.3,,,T,,,,,,,,,,,,,,
Video_games_sales13331,The Grim Adventures of Billy & Mandy,Wii,Midway Games,2006-01-01,0.05,Action,,,,,,,,,,,,,,,,,,,
Video_games_sales10530,Who Wants to Be a Millionaire: 3rd Edition,Wii,Ubisoft,2010-01-01,0.1,Misc,,,,,E,,,,,,,,,,,,,,
Video_games_sales11567,Princess in Love,DS,DTP Entertainment,2009-01-01,0.08,Simulation,,,,,E,,,,,,,,,,,,,,
Video_games_sales12094,Rayman 3: Hoodlum Havoc,GC,Ubisoft,2003-01-01,0.07,Platform,77.0,8.4,,,E,,,,,,,,,,,,,,
Video_games_sales11284,Red Faction: Armageddon,PC,THQ,2011-01-01,0.09,Shooter,75.0,6.7,,,M,,,,,,,,,,,,,,
Video_games_sales13431,Adventure Time: Explore the Dungeon Because I Dont Know!,PS3,D3Publisher,2013-01-01,0.05,Action,,,,,,,,,,,,,,,,,,,
Video_games_sales13875,Monaco Grand Prix,N64,Ubisoft,1999-01-01,0.04,Racing,,,,,,,,,,,,,,,,,,,
Video_games_sales10855,Pro Yakyuu Famista DS,DS,Namco Bandai Games,2007-01-01,0.1,Sports,,,,,,,,,,,,,,,,,,,
Video_games_sales11226,Wonder World Amusement Park,DS,Majesco Entertainment,2009-01-01,0.09,Misc,,,,,E,,,,,,,,,,,,,,
Video_games_sales12814,Kamen Rider Kabuto,PS2,Namco Bandai Games,2006-01-01,0.06,Action,,,,,,,,,,,,,,,,,,,
Video_games_sales10710,Ys VIII: Lacrimosa of Dana,PSV,Nihon Falcom Corporation,2016-01-01,0.1,Role-Playing,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,C:\Users\flola\IONOS HiD61870,DuckTales: Scrooge's Loot,iOS,,2013-07-26T00:00:00,,,,,,,,
,,,,,,,,,,,,,C:\Users\flola\IONOS HiD66149,Floor Kids,Xbox One,,2017-12-07T00:00:00,,,,,,,Everyone,
,,,,,,,,,,,,,C:\Users\flola\IONOS HiD55825,Lords of the Fallen,Microsoft Windows,,2014-10-28T00:00:00,,,,,,,Mature 17+,Lords of the Fallen
,,,,,,,,,,,,,C:\Users\flola\IONOS HiD57196,Balloon,Microsoft Windows,,2018-02-07T00:00:00,,,,,,,,
,,,,,,,,,,,,,C:\Users\flola\IONOS HiD64111,John Daly's ProStroke Golf,Microsoft Windows,,2010-10-05T00:00:00,,,,,,,Everyone,
,,,,,,,,,,,,,C:\Users\flola\IONOS HiD69419,Metroid Prime: Trilogy,Wii,,2015-01-29T00:00:00,,,,,,,Teen,Metroid
,,,,,,,,,,,,,C:\Users\flola\IONOS HiD57707,Angry Birds Rio,Microsoft Windows,,2011-03-22T00:00:00,,,,,,,Everyone,Angry Birds
,,,,,,,,,,,,,C:\Users\flola\IONOS HiD60710,NightCry,Microsoft Windows,,2016-03-28T00:00:00,,,,,,,Mature 17+,
,,,,,,,,,,,,,C:\Users\flola\IONOS HiD58783,TS Marketplace: BR Porthole Coach Pack 02 Add-On,Microsoft Windows,,2017-01-27T00:00:00,,,,,,,,
,,,,,,,,,,,,,C:\Users\flola\IONOS HiD54777,Marvel Super Hero Squad: Comic Combat,Xbox 360,,2011-11-15T00:00:00,,,,,,,Everyone 10+,Marvel Super Hero Squad
,,,,,,,,,,,,,C:\Users\flola\IONOS HiD63821,Elliot Quest,Nintendo Switch,,2014-11-10T00:00:00,,,,,,,Everyone 10+,
,,,,,,,,,,,,,C:\Users\flola\IONOS HiD62200,The guard of dungeon,Microsoft Windows,,2017-03-07T00:00:00,,,,,,,,
