"Blocking Key Value","Frequency"
"PC2020","59866"
"PC1998","24921"
"PC1997","21276"
"PC2021","17440"
"PC1996","10856"
"PC1995","3456"
"PC2022","1896"
"PC1994","127"
"PC2000","193154"
"PC2010","174033"
"PC2016","132530"
"PC2015","124127"
"PC2017","116242"
"PC2014","112068"
"PC2018","107289"
"PC1999","96187"
"PC2013","90750"
"PC2019","90612"
"PC","18565888"
"PC2006","432285"
"PC2007","411476"
"PC2005","399525"
"PC2004","395388"
"PC2003","380208"
"PC2008","380196"
"PC2002","375570"
"PC2001","302328"
"PC2009","261975"
"PC2011","88077"
"PC2012","85050"
