"Blocking Key Value","Frequency"
"PC1996","6608"
"PC1995","3456"
"PC1994","1016"
"PC1993","363"
"PC1992","50"
"PC1991","20"
"PC1989","2"
"PC1984","1"
"PC2002","51948"
"PC2012","34650"
"PC2001","29716"
"PC2015","26827"
"PC2000","22610"
"PC2014","21912"
"PC2013","20449"
"PC2016","19575"
"PC1999","17199"
"PC1998","16614"
"PC","4305576"
"PC2008","206736"
"PC2007","176788"
"PC2009","157684"
"PC2006","147315"
"PC2010","123630"
"PC2005","105018"
"PC2004","86184"
"PC2003","64792"
"PC2011","52595"
"PC1997","11820"
"PC2017","9177"
