"Blocking Key Value","Frequency"
"2006Wii","74844"
"2013PlayStation Vita","74196"
"2006Xbox","72072"
"1999Nintendo 64","69600"
"1998Nintendo 64","66470"
"2016PlayStation Vita","65021"
"2017Xbox One","60152"
"2012PSP","58644"
"2014Xbox One","58282"
"2005GameCube","55575"
"2008Wii","602154"
"2001PC","55200"
"2010PC","575640"
"2015PlayStation 3","51980"
"2011PC","535665"
"2016PC","520695"
"2012PC","491700"
"2009PC","454724"
"2007PlayStation 2","447678"
"1998PlayStation","438444"
"2008PC","431868"
"2010Wii","428076"
"2008DS","1100996"
"2007DS","876375"
"2009DS","854100"
"2003PlayStation 2","762840"
"2004PlayStation 2","748437"
"2005PlayStation 2","735631"
"2009Wii","651423"
"2015PC","636514"
"2002PlayStation 2","630252"
"2006PlayStation 2","623630"
"2014PC","423632"
"1999PlayStation","416906"
"2011PlayStation 3","413663"
"2006DS","409260"
"2010PlayStation 3","408195"
"2010Xbox 360","398250"
"2010DS","380292"
"2001PlayStation 2","365772"
"1997PlayStation","359380"
"2013PC","356252"
"2011Xbox 360","352758"
"2012PlayStation 3","340992"
"2007PC","333653"
"2009Xbox 360","331470"
"2009PlayStation 3","315500"
"2007Wii","297009"
"2004Xbox","292880"
"2017PC","288006"
"2003Xbox","278495"
"2015PlayStation 4","271062"
"2000PlayStation","266888"
"2016PlayStation 4","261072"
"2008Xbox 360","259543"
"2006PC","256017"
"2003Game Boy Advance","245245"
"2008PlayStation 2","234900"
"1996PlayStation","230068"
"2012Xbox 360","224950"
"2013PlayStation 3","217482"
"2002Game Boy Advance","215740"
"2008PlayStation 3","211452"
"2005Xbox","189640"
"2007Xbox 360","182845"
"2005PC","180780"
"2003GameCube","168665"
"2002Xbox","165549"
"2004Game Boy Advance","163784"
"2017PlayStation 4","163542"
"2007PSP","160540"
"2006PSP","156284"
"2011Wii","155262"
"2010PSP","153762"
"2009PSP","150591"
"2004PC","144210"
"2008PSP","142203"
"2002GameCube","126252"
"2011DS","119767"
"2004GameCube","119635"
"2014PlayStation 4","117990"
"2014PlayStation 3","117895"
"2011PSP","116935"
"2015PlayStation Vita","115200"
"2015Xbox One","114905"
"2003PC","112749"
"2001Game Boy Advance","110916"
"2005DS","110633"
"2005Game Boy Advance","107456"
"2001PlayStation","106260"
"1995PlayStation","100240"
"2013Xbox 360","100096"
"2016Xbox One","99728"
"2000PlayStation 2","99428"
"2007PlayStation 3","99110"
"2014PlayStation Vita","98192"
"2002PC","94572"
"2009PlayStation 2","89528"
"2006Xbox 360","83055"
"2005PSP","78372"
