"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] GameNameComparatorLevenshtein record1Value","[0] GameNameComparatorLevenshtein record2Value","[0] GameNameComparatorLevenshtein record1PreprocessedValue","[0] GameNameComparatorLevenshtein record2PreprocessedValue","[0] GameNameComparatorLevenshtein similarity","[0] GameNameComparatorLevenshtein postproccesedSimilarity","[1] GameDateComparator3Years record1Value","[1] GameDateComparator3Years record2Value","[1] GameDateComparator3Years record1PreprocessedValue","[1] GameDateComparator3Years record2PreprocessedValue","[1] GameDateComparator3Years similarity","[1] GameDateComparator3Years postproccesedSimilarity"
"LinearCombinationMatchingRule","all_games12852","Windowgames_2590","0.08000000000000002",,"AquaNox","Prince of Persia: The Sands of Time","AquaNox","Prince of Persia: The Sands of Time","0.11428571428571432","0.11428571428571432","2001-11-19T00:00","2003-01-01T00:00","2001-11-19T00:00","2003-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games12761","Windowgames_1037","0.3705882352941176",,"Dungeonland","Dungeon Defenders","Dungeonland","Dungeon Defenders","0.5294117647058824","0.5294117647058824","2013-01-29T00:00","2011-01-01T00:00","2013-01-29T00:00","2011-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games14204","Windowgames_3438","0.16896551724137931",,"DreamWorks Shark Tale","Tony Hawks American Wasteland","DreamWorks Shark Tale","Tony Hawks American Wasteland","0.24137931034482762","0.24137931034482762","2004-09-27T00:00","2005-01-01T00:00","2004-09-27T00:00","2005-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games8132","Windowgames_2039","0.15",,"Alone With You","MapleStory 2","Alone With You","MapleStory 2","0.2142857142857143","0.2142857142857143","2017-02-09T00:00","2018-01-01T00:00","2017-02-09T00:00","2018-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games10401","Windowgames_2974","0.13461538461538458",,"Madden NFL 2002","Sid Meiers Alien Crossfire","Madden NFL 2002","Sid Meiers Alien Crossfire","0.1923076923076923","0.1923076923076923","2001-08-20T00:00","1999-01-01T00:00","2001-08-20T00:00","1999-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games8765","Windowgames_1202","0.46969696969696967",,"Blair Witch Volume I: Rustin Parr","F1 Racing Championship","Blair Witch Volume I: Rustin Parr","F1 Racing Championship","0.24242424242424243","0.24242424242424243","2000-10-04T00:00","2000-01-01T00:00","2000-10-04T00:00","2000-01-01T00:00","1.0","1.0"
"LinearCombinationMatchingRule","all_games8765","Windowgames_1201","0.38484848484848483",,"Blair Witch Volume I: Rustin Parr","F1 Manager","Blair Witch Volume I: Rustin Parr","F1 Manager","0.12121212121212122","0.12121212121212122","2000-10-04T00:00","2000-01-01T00:00","2000-10-04T00:00","2000-01-01T00:00","1.0","1.0"
"LinearCombinationMatchingRule","all_games16975","Windowgames_3381","0.0411764705882353",,"Legendary Eleven","Through the Woods","Legendary Eleven","Through the Woods","0.05882352941176472","0.05882352941176472","2018-06-08T00:00","2016-01-01T00:00","2018-06-08T00:00","2016-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games12761","Windowgames_1033","0.175",,"Dungeonland","Duck Dynasty","Dungeonland","Duck Dynasty","0.25","0.25","2013-01-29T00:00","2014-01-01T00:00","2013-01-29T00:00","2014-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games14204","Windowgames_3433","0.10000000000000003",,"DreamWorks Shark Tale","Tomb Raider: Legend","DreamWorks Shark Tale","Tomb Raider: Legend","0.1428571428571429","0.1428571428571429","2004-09-27T00:00","2006-01-01T00:00","2004-09-27T00:00","2006-01-01T00:00","0.0","0.0"
