"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] GameNameComparatorLevenshtein record1Value","[0] GameNameComparatorLevenshtein record2Value","[0] GameNameComparatorLevenshtein record1PreprocessedValue","[0] GameNameComparatorLevenshtein record2PreprocessedValue","[0] GameNameComparatorLevenshtein similarity","[0] GameNameComparatorLevenshtein postproccesedSimilarity","[1] GameDateComparator3Years record1Value","[1] GameDateComparator3Years record2Value","[1] GameDateComparator3Years record1PreprocessedValue","[1] GameDateComparator3Years record2PreprocessedValue","[1] GameDateComparator3Years similarity","[1] GameDateComparator3Years postproccesedSimilarity"
"LinearCombinationMatchingRule","Windowgames_531","Video_games_sales8012","0.1235294117647059",,"Chaos;Head","Arcania: Gothic 4","Chaos;Head","Arcania: Gothic 4","0.17647058823529416","0.17647058823529416","2008-01-01T00:00","2010-01-01T00:00","2008-01-01T00:00","2010-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_1642","Video_games_sales16715","0.14411764705882354",,"Horizon Chase Turbo","Small Town Terrors - Galdors Bluff","Horizon Chase Turbo","Small Town Terrors - Galdors Bluff","0.20588235294117652","0.20588235294117652","2018-01-01T00:00","2016-01-01T00:00","2018-01-01T00:00","2016-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_790","Video_games_sales7060","0.11290322580645158",,"Dark Messiah of Might and Magic","Star Wars: Battlefront","Dark Messiah of Might and Magic","Star Wars: Battlefront","0.16129032258064513","0.16129032258064513","2006-01-01T00:00","2004-01-01T00:00","2006-01-01T00:00","2004-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_1195","Video_games_sales15043","0.34375",,"F.E.A.R.","Dungeon Siege II","F.E.A.R.","Dungeon Siege II","0.0625","0.0625","2005-01-01T00:00","2005-01-01T00:00","2005-01-01T00:00","2005-01-01T00:00","1.0","1.0"
"LinearCombinationMatchingRule","Windowgames_1992","Video_games_sales13694","0.06363636363636366",,"Madagascar","Praetorians","Madagascar","Praetorians","0.09090909090909094","0.09090909090909094","2005-01-01T00:00","2003-01-01T00:00","2005-01-01T00:00","2003-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_1833","Video_games_sales15935","0.0",,"KKND2: Krossfire","Airline Tycoon","KKND2: Krossfire","Airline Tycoon","0.0","0.0","1998-01-01T00:00","2000-01-01T00:00","1998-01-01T00:00","2000-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_155","Video_games_sales10489","0.10370370370370369",,"Aquaria","The Book of Unwritten Tales","Aquaria","The Book of Unwritten Tales","0.14814814814814814","0.14814814814814814","2007-01-01T00:00","2009-01-01T00:00","2007-01-01T00:00","2009-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_1869","Video_games_sales16938","0.07368421052631578",,"The Last Express","Lemmings Revolution","The Last Express","Lemmings Revolution","0.10526315789473684","0.10526315789473684","1997-01-01T00:00","1999-01-01T00:00","1997-01-01T00:00","1999-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_3096","Video_games_sales15482","0.1206896551724138",,"Soul Reaver 2","Maximum Capacity: Hotel Giant","Soul Reaver 2","Maximum Capacity: Hotel Giant","0.1724137931034483","0.1724137931034483","2001-01-01T00:00","2002-01-01T00:00","2001-01-01T00:00","2002-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_725","Video_games_sales5946","0.10370370370370369",,"Criminal Minds","Borderlands: The Pre-Sequel","Criminal Minds","Borderlands: The Pre-Sequel","0.14814814814814814","0.14814814814814814","2012-01-01T00:00","2014-01-01T00:00","2012-01-01T00:00","2014-01-01T00:00","0.0","0.0"
