"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] GameNameComparatorLevenshtein record1Value","[0] GameNameComparatorLevenshtein record2Value","[0] GameNameComparatorLevenshtein record1PreprocessedValue","[0] GameNameComparatorLevenshtein record2PreprocessedValue","[0] GameNameComparatorLevenshtein similarity","[0] GameNameComparatorLevenshtein postproccesedSimilarity","[1] GameDateComparator3Years record1Value","[1] GameDateComparator3Years record2Value","[1] GameDateComparator3Years record1PreprocessedValue","[1] GameDateComparator3Years record2PreprocessedValue","[1] GameDateComparator3Years similarity","[1] GameDateComparator3Years postproccesedSimilarity"
"LinearCombinationMatchingRule","Video_games_sales11336","PS4_id_9680","0.1076923076923077",,"Grand Kingdom","99Vidas","Grand Kingdom","99Vidas","0.15384615384615385","0.15384615384615385","2015-01-01T00:00","2017-07-18T00:00","2015-01-01T00:00","2017-07-18T00:00","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales11336","PS4_id_9681","0.05384615384615381",,"Grand Kingdom","99Vidas (EU)","Grand Kingdom","99Vidas (EU)","0.07692307692307687","0.07692307692307687","2015-01-01T00:00","2017-12-08T00:00","2015-01-01T00:00","2017-12-08T00:00","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales4115","PS4_id_3539","0.16896551724137931",,"BioShock The Collection","Anata no Shikihime Kyoudoutan","BioShock The Collection","Anata no Shikihime Kyoudoutan","0.24137931034482762","0.24137931034482762","2016-01-01T00:00","2018-03-08T00:00","2016-01-01T00:00","2018-03-08T00:00","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales9838","PS4_id_1135","0.3411764705882353",,"Rugby 15","Tales of Zestiria","Rugby 15","Tales of Zestiria","0.05882352941176472","0.05882352941176472","2015-01-01T00:00","2015-10-20T00:00","2015-01-01T00:00","2015-10-20T00:00","1.0","1.0"
"LinearCombinationMatchingRule","Video_games_sales11344","PS4_id_7276","0.08484848484848484",,"Fairy Fencer F: Advent Dark Force","Lichtspeer","Fairy Fencer F: Advent Dark Force","Lichtspeer","0.12121212121212122","0.12121212121212122","2015-01-01T00:00","2016-09-27T00:00","2015-01-01T00:00","2016-09-27T00:00","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales9838","PS4_id_1136","0.055999999999999966",,"Rugby 15","Talisman: Digital Edition","Rugby 15","Talisman: Digital Edition","0.07999999999999996","0.07999999999999996","2015-01-01T00:00","2017-03-07T00:00","2015-01-01T00:00","2017-03-07T00:00","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales11344","PS4_id_7279","0.18529411764705878",,"Fairy Fencer F: Advent Dark Force","Life Goes On: Done to Death (Asia)","Fairy Fencer F: Advent Dark Force","Life Goes On: Done to Death (Asia)","0.2647058823529411","0.2647058823529411","2015-01-01T00:00","2017-06-08T00:00","2015-01-01T00:00","2017-06-08T00:00","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales11344","PS4_id_7278","0.1909090909090909",,"Fairy Fencer F: Advent Dark Force","Life Goes On: Done to Death","Fairy Fencer F: Advent Dark Force","Life Goes On: Done to Death","0.2727272727272727","0.2727272727272727","2015-01-01T00:00","2016-05-17T00:00","2015-01-01T00:00","2016-05-17T00:00","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales4115","PS4_id_3535","0.09130434782608697",,"BioShock The Collection","Anamorphine","BioShock The Collection","Anamorphine","0.13043478260869568","0.13043478260869568","2016-01-01T00:00","2018-07-31T00:00","2016-01-01T00:00","2018-07-31T00:00","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales15403","PS4_id_2106","0.13999999999999996",,"Dragons Dogma Online: Season 2","YouTubers Life OMG (EU)","Dragons Dogma Online: Season 2","YouTubers Life OMG (EU)","0.19999999999999996","0.19999999999999996","2016-01-01T00:00","2018-11-21T00:00","2016-01-01T00:00","2018-11-21T00:00","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales4115","PS4_id_3536","0.1217391304347826",,"BioShock The Collection","Anamorphine (EU)","BioShock The Collection","Anamorphine (EU)","0.17391304347826086","0.17391304347826086","2016-01-01T00:00","2018-07-31T00:00","2016-01-01T00:00","2018-07-31T00:00","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales11344","PS4_id_7272","0.08484848484848484",,"Fairy Fencer F: Advent Dark Force","Level 22","Fairy Fencer F: Advent Dark Force","Level 22","0.12121212121212122","0.12121212121212122","2015-01-01T00:00","2016-02-11T00:00","2015-01-01T00:00","2016-02-11T00:00","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales15403","PS4_id_2105","0.16333333333333327",,"Dragons Dogma Online: Season 2","YouTubers Life OMG","Dragons Dogma Online: Season 2","YouTubers Life OMG","0.23333333333333328","0.23333333333333328","2016-01-01T00:00","2018-11-20T00:00","2016-01-01T00:00","2018-11-20T00:00","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales4115","PS4_id_3537","0.09130434782608697",,"BioShock The Collection","Anarcute","BioShock The Collection","Anarcute","0.13043478260869568","0.13043478260869568","2016-01-01T00:00","2018-02-20T00:00","2016-01-01T00:00","2018-02-20T00:00","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales11344","PS4_id_7275","0.12727272727272723",,"Fairy Fencer F: Advent Dark Force","Lichdom Battlemage","Fairy Fencer F: Advent Dark Force","Lichdom Battlemage","0.18181818181818177","0.18181818181818177","2015-01-01T00:00","2016-04-22T00:00","2015-01-01T00:00","2016-04-22T00:00","0.0","0.0"
