"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] GameNameComparatorLevenshtein record1Value","[0] GameNameComparatorLevenshtein record2Value","[0] GameNameComparatorLevenshtein record1PreprocessedValue","[0] GameNameComparatorLevenshtein record2PreprocessedValue","[0] GameNameComparatorLevenshtein similarity","[0] GameNameComparatorLevenshtein postproccesedSimilarity"
"LinearCombinationMatchingRule","Video_games_sales6446","wikidata_id_46345","0.0",,"Are You Smarter than a 5th Grader? Game Time","Dragon's Lair","Are You Smarter than a 5th Grader? Game Time","Dragon's Lair","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales13064","wikidata_id_15237","0.0",,"Sled Shred featuring the Jamaican Bobsled Team","Jump 'n Bump","Sled Shred featuring the Jamaican Bobsled Team","Jump 'n Bump","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales16071","wikidata_id_54461","0.0",,"Marvel Superheroes 3D: Grandmasters Challenge","Brunswick Zone Cosmic Bowling","Marvel Superheroes 3D: Grandmasters Challenge","Brunswick Zone Cosmic Bowling","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales111","wikidata_id_40042","0.0",,"The Legend of Zelda: Twilight Princess","Guinness World Records: The Videogame","The Legend of Zelda: Twilight Princess","Guinness World Records: The Videogame","0.1","0.0"
"LinearCombinationMatchingRule","Video_games_sales16183","wikidata_id_33776","0.0",,"Donkey Kong Jungle Beat","Rotohex","Donkey Kong Jungle Beat","Rotohex","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales2713","wikidata_id_55878","0.0",,"Star Wars: The Force Unleashed II","Lego Harry Potter: Years 5–7","Star Wars: The Force Unleashed II","Lego Harry Potter: Years 5–7","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales13638","wikidata_id_35681","0.0",,"Minna ga Shuyaku no NHK Kouhaku Quiz Kassen","Strong Bad's Cool Game for Attractive People","Minna ga Shuyaku no NHK Kouhaku Quiz Kassen","Strong Bad's Cool Game for Attractive People","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales3892","wikidata_id_45209","0.0",,"Go Diego Go! Safari Rescue","Gold's Gym: Cardio Workout","Go Diego Go! Safari Rescue","Gold's Gym: Cardio Workout","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales8014","wikidata_id_43058","0.0",,"Disney's Meet the Robinsons","Victorious Boxers: Revolution","Disney's Meet the Robinsons","Victorious Boxers: Revolution","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales11899","wikidata_id_63109","0.0",,"Americas Next Top Model","Super Star Kartz","Americas Next Top Model","Super Star Kartz","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales7389","wikidata_id_37390","0.0",,"TRON: Evolution - Battle Grids","Cocoto Magic Circus","TRON: Evolution - Battle Grids","Cocoto Magic Circus","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales1207","wikidata_id_27561","0.0",,"LEGO Pirates of the Caribbean: The Video Game","Defend Your Castle","LEGO Pirates of the Caribbean: The Video Game","Defend Your Castle","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales3342","wikidata_id_50131","0.0",,"Cabelas Monster Buck Hunter","Tony Hawk: Shred","Cabelas Monster Buck Hunter","Tony Hawk: Shred","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales2219","wikidata_id_37081","0.0",,"Tony Hawk: RIDE","SpongeBob SquarePants: Creature from the Krusty Krab","Tony Hawk: RIDE","SpongeBob SquarePants: Creature from the Krusty Krab","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales8156","wikidata_id_49951","0.0",,"Sing4: The Hits Edition","Rune Factory: Tides of Destiny","Sing4: The Hits Edition","Rune Factory: Tides of Destiny","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales261","wikidata_id_71788","0.0",,"Michael Jackson: The Experience","Taiko no Tatsujin Wii: Minna de Party Sandaime","Michael Jackson: The Experience","Taiko no Tatsujin Wii: Minna de Party Sandaime","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales4324","wikidata_id_43682","0.0",,"Country Dance 2","The Chronicles of Narnia: Prince Caspian","Country Dance 2","The Chronicles of Narnia: Prince Caspian","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales9505","wikidata_id_49033","0.0",,"The Amazing Race","The Hip Hop Dance Experience","The Amazing Race","The Hip Hop Dance Experience","0.14285714285714285","0.0"
"LinearCombinationMatchingRule","Video_games_sales9218","wikidata_id_32810","0.0",,"Gallop & Ride!","Cloudy with a Chance of Meatballs","Gallop & Ride!","Cloudy with a Chance of Meatballs","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales11182","wikidata_id_37958","0.0",,"Family GameShow","Boom Blox Bash Party","Family GameShow","Boom Blox Bash Party","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales11182","wikidata_id_33116","0.0",,"Family GameShow","Alien Syndrome","Family GameShow","Alien Syndrome","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales13459","wikidata_id_26519","0.0",,"MiniCopter: Adventure Flight","Haunted House","MiniCopter: Adventure Flight","Haunted House","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales12245","wikidata_id_52508","0.0",,"Mario Tennis","Rage of the Gladiator","Mario Tennis","Rage of the Gladiator","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales1419","wikidata_id_47104","0.0",,"Call of Duty: Black Ops","Rudolph the Red-Nosed Reindeer","Call of Duty: Black Ops","Rudolph the Red-Nosed Reindeer","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales7872","wikidata_id_56296","0.0",,"Inazuma Eleven Strikers 2012 Xtreme","Ben 10 Ultimate Alien: Cosmic Destruction","Inazuma Eleven Strikers 2012 Xtreme","Ben 10 Ultimate Alien: Cosmic Destruction","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales1974","wikidata_id_35339","0.0",,"Sega Superstars Tennis","Shrek's Carnival Craze","Sega Superstars Tennis","Shrek's Carnival Craze","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales1558","wikidata_id_48215","0.0",,"Guitar Hero: Aerosmith","Fast Draw Showdown","Guitar Hero: Aerosmith","Fast Draw Showdown","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales8022","wikidata_id_30620","0.0",,"UFC Personal Trainer: The Ultimate Fitness System","Ferrari Challenge: Trofeo Pirelli","UFC Personal Trainer: The Ultimate Fitness System","Ferrari Challenge: Trofeo Pirelli","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales2159","wikidata_id_37872","0.0",,"Guitar Hero: Warriors of Rock","The Golden Compass","Guitar Hero: Warriors of Rock","The Golden Compass","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales4675","wikidata_id_31682","0.0",,"NHL Slapshot","Petit Copter","NHL Slapshot","Petit Copter","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales12102","wikidata_id_40552","0.0",,"Open Season","Deadly Creatures","Open Season","Deadly Creatures","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales7683","wikidata_id_60974","0.0",,"Cabelas North American Adventures","Call of Duty 4: Modern Warfare","Cabelas North American Adventures","Call of Duty 4: Modern Warfare","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales16453","wikidata_id_37525","0.0",,"Captain Morgane and the Golden Turtle","Dokapon Kingdom","Captain Morgane and the Golden Turtle","Dokapon Kingdom","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales13855","wikidata_id_72590","0.0",,"Arctic Tale","Kirby's Epic Yarn","Arctic Tale","Kirby's Epic Yarn","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales17324","wikidata_id_59260","0.0",,"Maximum Racing: Rally Racer","UFC Personal Trainer","Maximum Racing: Rally Racer","UFC Personal Trainer","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales10881","wikidata_id_75868","0.0",,"Blast Works: Build, Trade, Destroy","Scooby-Doo! and the Spooky Swamp","Blast Works: Build, Trade, Destroy","Scooby-Doo! and the Spooky Swamp","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales1","wikidata_id_29890","0.0",,"Wii Sports","Let's Tap","Wii Sports","Let's Tap","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales1419","wikidata_id_56089","0.0",,"Call of Duty: Black Ops","WWE '13","Call of Duty: Black Ops","WWE '13","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales15451","wikidata_id_41962","0.0",,"Jinsei Game Wii","Final Fantasy Crystal Chronicles: My Life as a King","Jinsei Game Wii","Final Fantasy Crystal Chronicles: My Life as a King","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales12036","wikidata_id_73118","0.0",,"Storybook Workshop","Check vs. Mate","Storybook Workshop","Check vs. Mate","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales6477","wikidata_id_28916","0.0",,"ExciteBots: Trick Racing","Eternity's Child","ExciteBots: Trick Racing","Eternity's Child","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales10560","wikidata_id_73118","0.0",,"Sesame Street: Ready, Set, Grover!","Check vs. Mate","Sesame Street: Ready, Set, Grover!","Check vs. Mate","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales17128","wikidata_id_35720","0.0",,"Bermuda Triangle: Saving the Coral","Octomania","Bermuda Triangle: Saving the Coral","Octomania","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales11069","wikidata_id_30996","0.0",,"Kawasaki Quad Bikes","AMF Bowling World Lanes","Kawasaki Quad Bikes","AMF Bowling World Lanes","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales897","wikidata_id_42746","0.0",,"Call of Duty: World at War","Prince of Persia: The Two Thrones","Call of Duty: World at War","Prince of Persia: The Two Thrones","0.09090909090909091","0.0"
"LinearCombinationMatchingRule","Video_games_sales9944","wikidata_id_22786","0.0",,"The Sky Crawlers: Innocent Aces","Esper Dream","The Sky Crawlers: Innocent Aces","Esper Dream","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales7916","wikidata_id_33107","0.0",,"How to Train Your Dragon 2","Major Minor's Majestic March","How to Train Your Dragon 2","Major Minor's Majestic March","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales3685","wikidata_id_46444","0.0",,"Grease","ICarly 2: iJoin the Click!","Grease","ICarly 2: iJoin the Click!","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales11271","wikidata_id_28216","0.0",,"Jumper: Griffins Story","MX vs. ATV Untamed","Jumper: Griffins Story","MX vs. ATV Untamed","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales10820","wikidata_id_39221","0.0",,"King of Clubs: Mini Golf","Real Heroes: Firefighter","King of Clubs: Mini Golf","Real Heroes: Firefighter","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales2427","wikidata_id_39205","0.0",,"Ghostbusters: The Video Game","All Star Cheer Squad 2","Ghostbusters: The Video Game","All Star Cheer Squad 2","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales16507","wikidata_id_30729","0.0",,"Happy Dance Collection","Pokémon Mystery Dungeon: Advance! Fire Adventure Team","Happy Dance Collection","Pokémon Mystery Dungeon: Advance! Fire Adventure Team","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales6931","wikidata_id_43454","0.0",,"Spider-Man: Shattered Dimensions","Scarface: The World Is Yours","Spider-Man: Shattered Dimensions","Scarface: The World Is Yours","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales13571","wikidata_id_30682","0.0",,"Active Life: Magical Carnival","Death Jr. II: Root of Evil","Active Life: Magical Carnival","Death Jr. II: Root of Evil","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales5363","wikidata_id_22486","0.0",,"Tiger Woods PGA Tour 12: The Masters","Battle Arena Toshinden","Tiger Woods PGA Tour 12: The Masters","Battle Arena Toshinden","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales7952","wikidata_id_43920","0.0",,"Tamagotchi Party On!","Doraemon Wii","Tamagotchi Party On!","Doraemon Wii","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales15907","wikidata_id_53413","0.0",,"Wild West Shootout","Hot Wheels Track Attack","Wild West Shootout","Hot Wheels Track Attack","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales6450","wikidata_id_40453","0.0",,"Summer Athletics: The Ultimate Challenge (US sales)","Marble Saga: Kororinpa","Summer Athletics: The Ultimate Challenge (US sales)","Marble Saga: Kororinpa","0.0","0.0"
